# Open-loop AC Monte Carlo simulation mismatch-only voltage gain
# N B M BN BM NN NV MV
34.1186 35.7416 36.1537 32.3768 36.4133 69.0321 69.2621 71.7982
35.4993 35.0818 36.1775 31.9254 36.2601 66.7298 69.2301 72.4268
36.0372 35.7207 35.9973 32.5954 36.1391 70.2909 68.966 72.094
34.9745 36.3419 36.2604 32.2682 36.0196 68.7499 68.2087 72.6957
37.7523 36.3522 36.353 32.7986 36.2475 69.1052 68.8325 72.8906
35.8442 36.0354 36.463 32.6158 36.3617 69.6354 69.6219 72.1202
35.6952 35.6249 35.9893 33.2715 36.328 69.6506 70.1896 72.5326
36.6465 36.0913 36.0697 32.9038 36.2584 68.1677 68.5009 72.2223
35.0473 36.3343 36.1701 32.6779 35.9324 68.6455 68.0734 72.6066
36.2809 35.6365 36.2031 32.9257 36.1466 68.9556 69.8466 72.5311
33.7887 36.0427 36.1606 32.0573 35.9425 69.7215 67.9014 72.7019
36.519 35.0729 36.3108 32.0609 36.3126 67.9192 69.4245 72.759
36.7838 35.8231 35.9519 33.0658 36.0216 69.3751 68.794 71.9591
34.6821 35.0448 36.0587 32.9582 36.3275 69.3627 69.3795 72.7998
35.968 34.8531 36.2753 33.6639 36.1415 68.1191 68.4436 72.2982
35.5175 35.7785 35.9899 32.9156 36.3086 69.2104 68.433 72.7464
35.3068 34.6175 36.1685 32.7587 36.2045 68.1685 69.5744 72.0339
38.4634 36.303 36.3793 33.3712 36.1533 68.7986 68.8576 72.6094
36.5535 35.2116 36.1726 33.0123 36.0358 69.7483 69.8244 73.024
34.3278 35.2843 35.9643 33.086 35.9913 69.9633 68.8443 72.1696
36.4593 36.2819 36.3592 31.7238 35.9518 67.6864 69.7049 72.5752
35.0423 34.6555 36.176 32.7958 35.9682 68.7 69.822 71.919
34.9032 35.7516 36.3141 32.761 35.7923 69.0595 68.5134 72.4396
35.3691 35.8101 35.8201 33.0791 36.2858 67.6951 69.393 72.1039
37.0643 36.0234 36.4964 32.5693 36.0397 67.81 70.0582 71.9359
36.7715 36.1747 36.5935 33.6793 36.3407 68.382 68.3681 72.6252
36.8975 35.8515 36.1738 32.9059 36.2869 70.4445 69.2718 72.8435
37.5977 35.9751 35.9856 31.9623 36.2721 68.9427 69.3359 72.2921
35.7192 35.415 36.1637 32.704 36.0171 70.4525 69.1765 72.4333
37.3155 35.5293 36.0823 32.0551 36.2361 69.487 68.7457 72.1468
36.0231 36.3259 36.293 33.7781 35.8242 69.1381 68.8111 72.5272
35.4378 36.7238 35.9445 31.7469 35.9094 68.5697 69.7758 72.1958
38.5692 35.8872 36.0943 32.0087 36.3463 68.8307 68.0622 72.4216
36.6034 35.4629 36.2997 31.8564 35.9868 67.8113 70.1047 72.6425
36.4659 36.0828 36.0785 32.2872 36.2201 68.0238 69.0295 72.0911
35.1946 36.1499 35.9952 31.3058 36.4129 70.5815 68.3615 72.3819
33.6469 36.1008 36.3349 31.4461 36.2587 70.3855 69.0746 71.5349
34.7238 35.9117 35.8954 31.9903 36.0983 69.8095 68.6659 72.6379
36.7949 34.7241 35.9131 33.9188 36.2845 67.8004 69.6213 72.5504
37.5551 36.0282 36.1056 32.4168 36.1635 67.5455 69.4107 71.967
36.8256 35.3211 36.1812 31.9438 36.0548 69.6297 68.4673 72.1962
34.574 36.0554 36.2779 32.0981 36.0515 70.1818 69.7019 72.7668
35.7552 36.3644 36.3126 32.5441 36.1499 67.4394 67.8285 71.9272
35.5981 35.5889 36.0777 32.3642 36.0936 67.0067 69.0209 72.1848
36.5744 36.0631 36.378 32.6674 36.1801 69.6276 68.2631 72.517
38.2752 35.7426 36.3447 32.6492 36.0252 67.6322 69.3006 72.7939
35.0884 35.8314 36.2543 34.1423 36.2135 69.8024 69.3994 72.7175
37.1345 35.8498 35.9255 32.9173 36.1508 68.726 68.7084 72.5154
35.8348 36.0541 36.1638 32.9782 36.4629 67.8191 69.0411 72.2536
34.2899 35.7914 36.4153 32.9305 36.3352 68.1412 68.9476 72.6701
35.1353 35.9693 36.3042 33.3749 36.2823 70.2441 69.0999 72.379
37.1735 35.872 36.1267 32.5202 35.9687 67.8739 69.5293 72.6292
36.4136 35.903 36.265 33.0627 36.2407 69.0836 69.5568 72.6351
35.8214 35.6193 36.1955 33.1412 36.146 70.9752 68.4603 72.1548
36.385 36.3294 36.2777 32.4826 36.2783 68.5371 69.7104 72.6897
37.4923 36.1931 36.2526 32.1789 36.0286 68.8831 68.112 72.495
34.8422 36.4007 36.3083 31.9638 36.1004 71.4691 68.5401 73.1206
36.0804 35.8087 36.5355 33.4331 36.4341 69.6089 68.8998 72.5923
36.2341 35.784 36.1094 32.562 36.1147 69.9249 68.4779 72.1558
35.3502 34.5882 36.122 32.5198 36.6979 69.4862 69.1964 72.5689
34.7276 36.1511 36.275 33.0922 35.6186 68.6215 69.4949 73.0587
35.9414 36.0508 36.1976 33.0599 35.9495 69.6163 69.6223 71.8335
36.7701 34.4407 36.1039 32.9403 35.8072 68.8906 68.1176 73.2296
36.6092 35.5546 36.4239 32.9981 36.37 70.8717 70.0013 72.1838
34.8331 35.3139 36.5517 33.0872 36.0938 69.9287 68.4338 71.9946
35.2885 36.1745 35.7248 32.297 36.2682 66.8527 67.8271 72.347
35.5543 36.3608 36.3064 32.4341 36.1169 69.266 68.9284 72.5731
36.1644 36.124 35.9034 31.4711 36.1592 68.6773 68.8831 72.5159
35.6358 35.2276 36.4566 32.2465 35.8776 67.8586 69.4689 72.3668
37.3083 35.8513 36.1988 32.1068 36.2608 69.9908 67.9946 72.8558
37.1325 35.9462 35.98 32.221 36.1987 69.645 69.7365 72.143
36.2708 36.1725 36.1301 32.5499 36.2681 70.0508 68.3986 72.22
36.9091 35.5888 36.4239 32.3332 36.1726 67.7181 68.5485 72.1244
35.9417 33.4487 35.9562 32.3911 36.0372 69.9496 68.5201 72.5047
35.4762 35.5644 36.0171 32.3113 36.2423 69.384 68.5562 72.2736
35.8648 36.145 36.3584 34.3951 36.1339 69.8255 68.4799 71.8757
36.8867 35.9384 36.2793 32.7591 36.4448 68.1184 69.3233 72.2736
33.7616 35.9922 35.8974 33.3545 36.1578 70.0744 68.9501 72.5914
39.3875 36.0998 36.2003 33.2154 36.2693 69.4553 68.7358 72.1121
36.0917 35.1598 36.0036 33.0626 36.0739 68.5808 68.6731 72.7567
36.6431 36.1381 36.2766 31.8625 36.4547 69.6124 68.1719 72.5323
37.2056 35.719 36.1014 33.4802 36.3633 69.3632 68.3649 72.7982
37.4863 36.1704 36.3285 32.8928 36.4294 69.0927 69.5162 72.1937
35.4618 35.9241 35.862 33.436 36.0743 71.273 69.5634 72.7304
37.0655 36.2158 36.375 32.3631 35.8948 68.9465 68.5286 72.2646
35.1771 35.9152 35.8132 33.6392 35.9615 68.9026 68.278 72.4097
37.5014 36.2723 35.9609 32.0585 36.0698 70.486 69.128 72.3545
38.3813 35.8629 35.9818 32.2074 36.0635 69.0306 70.1805 72.293
35.2614 35.6269 35.939 31.585 36.0644 67.9132 68.1466 72.2059
35.1191 36.3228 36.1982 33.3777 35.9769 71.0191 71.7247 72.4609
38.4528 36.1862 36.147 32.8788 36.1562 68.1531 69.434 72.1861
35.8535 34.9386 36.483 32.6492 36.1386 69.5034 68.0584 72.1866
36.3169 36.2114 36.6195 32.1822 36.1882 69.6957 69.1919 72.3089
35.1794 35.498 36.6631 32.5966 36.2105 68.8846 69.4 72.9767
35.1535 34.6677 36.2699 32.0466 36.301 69.0824 68.1492 72.3579
36.0471 35.2298 36.3526 34.503 36.3587 68.5529 68.558 73.1073
36.5593 35.9401 35.9864 34.4425 36.5347 70.5532 69.0701 72.4259
36.6962 36.3259 36.0965 32.1477 36.2047 67.1228 68.3059 72.6819
36.9239 35.8528 36.2232 32.3793 36.7497 67.4007 69.8661 72.4165
37.0058 36.0808 36.0887 32.7764 35.8387 67.4274 69.4016 72.3371
