# Open-loop AC Monte Carlo simulation mismatch-only output common-voltage
# N B M BN BM NN NV MV
0.00946374 0.0532 0.00984549 -0.00491026 -0.00273739 0.0185116 0.0173517 0.0038364
0.00761781 0.0706866 -0.000168912 -0.00418318 -0.0101446 0.00651509 -0.00185376 -0.0120399
-0.0170952 0.0411442 -0.0116371 0.0109787 -0.00201159 0.010363 0.0204783 -0.00887714
-0.0144951 -0.0208971 0.00933157 -0.00712434 -0.0137489 0.00959873 -0.0276687 0.00504418
-0.00733898 -0.0482503 0.0011518 -0.00654393 -0.0156142 -0.00768548 -0.0273655 -0.00693245
-0.0133377 -0.00690477 0.00849419 -0.00459919 -0.00142995 0.00683635 -0.0048822 0.000325698
-0.00114276 0.0260056 -0.00123265 -0.0129809 0.00162564 -0.00345893 0.0108995 -0.0128764
-0.00470086 -0.0194513 -0.00094646 -0.00612108 -0.0116096 -0.0118674 0.00334241 -0.00660304
-0.00118827 0.0142384 -0.0181641 -0.00892649 -0.00643529 -0.00285541 -0.015906 -0.0105953
-0.00387485 -0.0541181 -0.0114573 -0.0111967 0.00304674 0.00894721 -0.00817042 -0.0113359
-0.0101776 0.00483492 -0.0218856 -0.00773572 -0.0224777 -0.00255674 -0.0271153 -0.00529621
-0.0120238 -0.105839 -0.00340646 -0.0225877 -0.00203971 -0.0266498 -0.0271499 0.00497966
-0.0092843 0.0240558 -0.00990361 -0.00814095 -0.000123397 -0.0100187 -0.00714428 -0.00686674
-0.0097978 0.0508324 -0.0156336 -0.0264845 -0.00961311 -0.0142671 -0.0108019 0.00601377
-0.00224403 0.0640749 0.00387612 0.0113675 -0.00435311 0.00257499 0.0104228 0.00764592
-0.0256975 -0.0678322 -0.00197039 -0.00487231 -0.00974285 -0.00594001 -0.0218893 0.00432457
0.00368789 0.0850719 -0.00680591 0.00535404 0.00638412 -0.0116419 0.00679309 0.0183097
-0.00682669 -0.0350531 0.0225036 -0.00215604 0.00197631 -0.00377225 -0.0230384 -0.00894401
-0.0192949 0.0832922 -0.0156555 -0.00490965 -0.0040777 0.000901347 -0.00329716 -0.000108196
-0.0126026 0.0764228 1.36337E-05 -0.0166329 -0.00279316 0.0234445 0.00211251 -0.0108695
-0.00333695 -0.0414865 0.00996291 -0.000819956 -0.00839937 7.05098E-05 -0.00689312 -0.00430656
0.0199002 0.060677 0.00958391 -0.0051624 0.0125736 0.0109002 -0.00739697 -0.00413158
0.00810342 0.0548415 -0.0130725 0.00415717 -0.0237757 -0.00598701 -0.00643294 0.012381
-5.47239E-05 0.0112895 -0.00820159 0.016697 -0.0012735 -0.00849078 0.00257063 -0.00295757
-0.000183301 -0.0507723 0.00928966 -0.00553146 0.00694046 0.00725995 0.00993282 0.00768326
0.00969782 0.000912458 -0.000777167 0.0102323 -0.0100669 -0.0114009 -0.0100559 -0.00110802
-0.0129435 0.0556062 -0.00101279 -0.00820898 -0.0200785 0.0144905 -0.0144556 -0.0185464
0.0116726 -0.0484633 -0.0246467 -0.0177472 0.000821483 0.00644649 -0.000197487 -0.0123012
-0.0167597 0.0607834 0.0047799 -0.0105331 0.00753722 0.0197358 0.0174356 0.00315059
0.00908858 0.0346767 0.00982897 0.00286092 0.00278669 -0.0164872 -0.000372415 -0.00754075
0.00834308 -0.0119125 0.00750843 -0.00893614 -0.0116289 -0.027364 -0.0181655 -0.00675079
-0.00397986 0.0159618 -0.00107109 -0.0042288 -0.0105343 0.0101101 -0.000995328 0.00688852
0.000812449 -5.78759E-05 -0.0172946 -0.0281567 -0.00221502 0.00815818 -0.00884568 -0.0058305
-0.01476 0.0464356 0.00776688 -0.0168129 -0.0232564 -0.00284765 -0.029998 0.00101778
-0.00851541 -0.0405302 0.0104874 -0.00270372 0.00745611 -0.00486865 0.0136794 0.0143229
0.000344987 -0.00554929 -0.00548571 -0.000947162 0.0190603 0.0150556 -0.00312633 0.00174149
0.0157768 -0.0190546 0.0238519 0.0198663 0.0105621 0.0129547 0.0172348 -0.00238337
0.0189014 -0.0394926 0.00203944 -0.00715058 0.00508335 0.00432651 0.00436837 -0.0170051
0.00770879 -0.106156 -0.00128429 -0.0056944 -0.0145458 -0.00179702 -0.00646483 0.00249486
0.00273374 -0.0212411 0.0126453 0.0233385 -0.0120378 -0.00456706 0.00511506 0.013234
-0.00517754 0.0400214 -0.00622097 -0.0154811 -0.00377637 -0.00121758 0.00759371 -0.000294999
-0.010724 -0.00513743 -0.0118383 -0.0114805 -0.00921353 -0.0207934 0.0139951 0.00512304
0.0109214 0.029277 0.0223712 0.0273837 0.00813063 0.0012307 0.0274714 -0.00739701
-0.0105444 -0.0369573 -0.00854084 0.00374586 -0.0082647 0.0067795 0.0225742 -0.00772809
0.00274977 0.0213952 -0.0052992 -0.00932281 -0.0115597 -0.0194917 -0.0116708 0.00496187
-0.00403582 0.0211706 0.00161397 -0.00271824 -0.012296 -0.00543426 -0.00191958 -0.00896025
0.00591483 -0.0369481 -0.0190584 0.00830095 -0.0297036 -0.0171624 -0.0165012 -0.0056447
0.00536762 -0.049226 -0.0224652 0.00662743 -0.00507555 0.00437839 -0.00122096 0.00759916
-0.0128611 -0.039622 0.00676111 0.00185692 0.0125778 -0.0172565 0.0020745 -0.00662499
-0.00573372 0.0269616 0.00496328 -0.0102762 -0.00889409 -0.0117641 -0.0262803 -0.0107071
0.0119809 0.018181 0.00966748 0.000728619 0.0118567 -0.00494292 -0.00516373 0.0013635
-0.00589434 0.0112977 -0.00263585 0.00825176 -0.018831 -0.0147909 0.00034691 -0.011766
-0.00251394 -0.0322086 0.00674631 0.00213911 0.00160295 -0.00667749 -0.00262728 -0.021708
0.00818063 0.0325652 0.0190931 0.0110683 -0.00454149 0.0250015 -0.0104925 -0.0122912
0.0129252 0.0151328 0.00964759 -0.0224144 -0.0352293 0.00953551 -0.00766379 0.000404359
-0.000956268 -0.0140959 -0.00285792 -0.00699643 -0.0126674 0.00380912 -0.0259265 -0.0142509
-0.0165036 -0.001203 -0.0131637 -0.0206451 -0.0235833 -0.00401996 -0.0297299 -0.00437418
-0.00169911 -0.0512569 0.00418448 0.00131705 0.0053565 0.0115729 -0.0089284 -0.0122719
0.00850312 -0.00863879 -0.00349615 -0.00616539 -0.0189474 -0.0123382 -0.0169157 0.0110212
0.00242236 0.0560472 -0.00986169 -0.0208784 -0.00563234 0.00889924 0.0139502 -0.0083853
-0.0209984 0.0142513 -0.0231228 -0.0254447 -0.0219286 -0.0210081 -0.00775362 0.00147625
0.0128143 -0.0215175 0.0171633 0.000365312 0.00240788 -0.00109308 0.00433411 0.0041599
-0.00988071 0.0590118 -0.0291414 -0.0195819 -0.0287813 -0.0174321 -0.0383564 0.00431208
0.00254917 0.0540621 0.00267887 0.0125028 0.009596 0.0228358 -0.0056531 0.00397632
0.00746238 0.054826 0.014099 0.00673987 -0.0103054 0.0209414 0.00723911 -0.00239085
-0.00157405 0.0145081 -0.0178711 -0.0102895 -0.00811197 -0.00911662 -0.0135291 0.00186778
-0.0186102 -0.00933332 -0.0083419 0.00533123 -0.00929345 -0.0124109 -0.014554 -0.00900418
0.00778508 -0.00807362 -0.00888852 -0.00578632 -0.0114227 -0.00957515 0.0103041 -0.002986
-0.0052834 -0.078884 0.00595861 -0.0127429 -0.0168981 -0.0314201 -0.0154778 0.0171777
-0.0117502 -0.0764309 -0.0195878 -0.0168806 -0.0343181 -0.0181178 -0.0337134 0.000937216
0.00814449 0.00454735 -0.0103045 -0.0149769 -0.00359712 -0.00920384 0.0181637 0.00684014
-0.017317 -0.0035665 -0.0254435 -0.00413241 0.0111715 0.00856626 -0.00620029 -0.000595042
-0.0100472 0.0287795 0.0226087 0.00544012 0.0112986 0.0128765 -0.0101336 -0.00574966
-0.00366854 0.0891487 -0.00762059 -0.0144131 0.000214416 0.0200137 -0.0149928 -0.00146768
-0.0082235 0.0416895 -0.0142986 -0.00922101 0.000308152 -0.00891717 0.00447981 -0.0129359
-0.00100516 -0.00601349 0.0129486 -0.0019257 0.00230734 0.0154913 0.0161896 0.0103579
0.00311833 -0.0097478 0.00900257 -0.0133097 0.00851128 -0.00205256 0.00470321 0.00134211
0.0114374 -0.00425331 -0.0106367 0.0204708 -0.00799697 -0.00822601 0.00539082 -0.0130664
0.0183218 -0.0101233 0.000916417 -0.000539616 -0.00490116 0.0114974 -0.0110105 -0.00120093
-0.00956134 -0.0895269 -0.017951 -0.00296485 0.000402433 -0.0162135 0.0100157 -0.000325296
-0.00969476 0.0101323 0.00204622 -0.000824329 -0.0199862 0.0116723 -0.00524131 -0.00699478
-0.0276746 0.0384067 -0.000916631 -0.0208809 0.00484828 -0.00706719 -0.00294733 -0.000482393
0.0189487 0.026677 0.0167124 0.014108 0.00372134 0.0064906 0.0204607 -0.00649283
0.00434077 -0.0508843 -0.0020339 0.00541842 -0.00918284 0.00307688 0.00924857 -0.00384192
-0.0133921 -0.0203704 -0.00392782 -0.0256442 -0.0156523 -0.0072508 -0.0123138 0.00647715
-0.00226841 0.00399949 -0.0157839 -0.000788043 -0.0129166 0.00398196 -0.025494 0.00141999
0.00463433 0.023204 -0.0012479 0.00526718 -0.0351036 -0.014522 -0.00275001 0.00616565
0.011418 0.0300759 -0.0109468 0.00878948 -0.00307723 -0.000907711 0.00589273 0.000698867
-0.0089636 0.0377416 -0.00899875 -0.0207185 0.00576715 -0.0232306 -0.0152065 -0.00235049
-0.00330824 0.00252363 0.000960805 0.00472995 0.00338806 -0.0132925 0.0163842 -0.0103959
0.00991516 0.00782044 0.0049108 -0.00405602 -0.0194108 -0.00933993 0.00927016 0.0142037
0.000687822 0.0448503 0.0215627 0.00796748 0.00974772 -0.00582294 0.000637731 -0.000281855
-0.0111348 -0.0397824 0.0120165 0.00878555 0.00230974 0.00827055 0.00732475 0.00168536
-0.0297761 -0.0750867 -0.00730915 -0.0168962 -0.0116005 -0.0232604 -0.012823 -0.0109673
-0.00354279 0.0703839 -0.00264117 -0.010505 -0.00826337 -0.00873264 -0.0163015 -0.00504326
-0.0369747 0.0394047 -0.0151109 -0.00616102 -0.0133223 -0.0164862 -0.0229591 0.00777035
-5.89217E-05 -0.057017 -0.00798066 0.0124102 0.00096599 0.0123206 -0.0131757 -0.000425539
-0.00469932 -0.034644 -0.0190104 0.000130837 0.00472564 -0.00558577 -0.0160046 0.00619324
0.00722418 -0.0450849 6.10456E-05 -0.00475584 -0.00672942 0.00251245 0.00705003 -0.00637605
-0.00432024 -0.0200516 0.0163207 -0.00821214 -0.00024931 0.0121573 0.00244322 -0.0135247
