# Open-loop AC Monte Carlo simulation mismatch-only GBW
# N B M BN BM NN NV MV
9.96122E+06 9.82435E+06 1.00485E+07 9.92458E+06 9.93359E+06 2.14632E+07 2.1249E+07 2.28555E+07
1.00824E+07 1.00026E+07 1.00722E+07 9.96963E+06 1.00869E+07 2.23379E+07 2.20824E+07 2.26005E+07
1.0423E+07 1.0103E+07 1.04123E+07 1.00511E+07 1.01839E+07 2.12513E+07 2.18716E+07 2.28872E+07
1.00912E+07 1.00144E+07 9.81183E+06 9.79588E+06 1.02909E+07 2.13514E+07 2.29736E+07 2.1757E+07
9.88521E+06 9.67961E+06 9.85523E+06 1.00324E+07 1.0059E+07 2.21566E+07 2.27267E+07 2.17715E+07
1.00998E+07 1.03522E+07 9.76315E+06 1.01247E+07 9.89418E+06 2.12429E+07 2.21187E+07 2.25922E+07
1.00684E+07 1.03138E+07 1.02702E+07 1.01384E+07 9.92164E+06 2.22309E+07 2.14145E+07 2.24272E+07
1.01469E+07 1.00269E+07 1.02035E+07 1.00028E+07 1.01075E+07 2.26845E+07 2.20064E+07 2.26426E+07
1.01309E+07 9.87039E+06 1.02058E+07 9.88068E+06 1.03532E+07 2.25698E+07 2.28539E+07 2.2122E+07
9.8342E+06 1.0039E+07 1.01334E+07 1.03306E+07 1.00968E+07 2.23116E+07 2.19636E+07 2.23225E+07
9.8874E+06 1.01231E+07 1.02307E+07 9.99013E+06 1.04034E+07 2.18178E+07 2.31652E+07 2.20859E+07
1.01927E+07 1.00938E+07 9.86405E+06 1.00676E+07 9.85486E+06 2.27232E+07 2.24918E+07 2.15686E+07
1.02802E+07 1.02283E+07 1.03564E+07 1.00142E+07 1.02487E+07 2.29452E+07 2.24204E+07 2.28867E+07
1.00773E+07 1.0044E+07 1.0185E+07 1.01607E+07 9.95375E+06 2.22835E+07 2.20865E+07 2.15164E+07
9.92767E+06 1.00906E+07 9.98899E+06 9.88568E+06 1.01155E+07 2.22803E+07 2.19504E+07 2.22815E+07
1.05708E+07 1.01884E+07 1.02006E+07 1.00273E+07 9.97583E+06 2.18125E+07 2.25198E+07 2.18138E+07
1.007E+07 1.00192E+07 1.02115E+07 9.98204E+06 1.00658E+07 2.28576E+07 2.21104E+07 2.2568E+07
9.99638E+06 9.95111E+06 9.62725E+06 9.94791E+06 1.00597E+07 2.20626E+07 2.3084E+07 2.22385E+07
1.03295E+07 9.32715E+06 1.01617E+07 1.0154E+07 1.01302E+07 2.14232E+07 2.1981E+07 2.15208E+07
1.03116E+07 9.88376E+06 1.03536E+07 1.01335E+07 1.03224E+07 2.16063E+07 2.22396E+07 2.2842E+07
1.00865E+07 9.46271E+06 9.76142E+06 1.0183E+07 1.03586E+07 2.15807E+07 2.22569E+07 2.21285E+07
9.76942E+06 1.06728E+07 1.00711E+07 1.03085E+07 1.02006E+07 2.24226E+07 2.26416E+07 2.32293E+07
1.011E+07 9.8622E+06 1.01114E+07 1.00156E+07 1.06118E+07 2.18024E+07 2.29668E+07 2.21967E+07
1.03083E+07 1.04582E+07 1.05682E+07 1.00675E+07 1.01012E+07 2.26009E+07 2.25438E+07 2.28954E+07
1.0206E+07 1.00172E+07 9.7302E+06 1.0215E+07 1.01745E+07 2.2147E+07 2.14564E+07 2.26974E+07
9.65855E+06 1.0091E+07 9.67559E+06 9.52287E+06 9.98281E+06 2.27562E+07 2.20981E+07 2.21375E+07
1.0151E+07 9.68125E+06 1.00598E+07 1.01147E+07 1.00478E+07 2.08149E+07 2.214E+07 2.21269E+07
9.887E+06 9.96048E+06 1.04787E+07 1.0455E+07 1.0021E+07 2.20057E+07 2.20587E+07 2.26927E+07
1.00788E+07 9.98735E+06 1.00364E+07 9.93821E+06 1.02041E+07 2.08856E+07 2.15638E+07 2.23596E+07
9.83739E+06 1.02807E+07 1.01266E+07 1.02049E+07 1.00185E+07 2.22845E+07 2.22505E+07 2.27855E+07
9.49382E+06 1.00889E+07 9.85574E+06 9.98627E+06 1.04688E+07 2.19978E+07 2.28972E+07 2.22932E+07
1.03102E+07 9.55211E+06 1.02621E+07 1.01094E+07 1.03719E+07 2.09724E+07 2.20517E+07 2.24434E+07
1.00142E+07 1.03766E+07 1.03073E+07 1.05668E+07 9.8731E+06 2.13449E+07 2.19796E+07 2.22377E+07
9.89906E+06 1.00753E+07 9.80084E+06 1.02697E+07 1.03721E+07 2.19463E+07 2.26754E+07 2.18696E+07
1.00326E+07 1.03843E+07 1.00909E+07 1.01053E+07 9.98498E+06 2.23723E+07 2.19286E+07 2.24122E+07
1.01536E+07 1.00882E+07 1.03274E+07 1.01118E+07 9.69846E+06 2.18244E+07 2.30256E+07 2.25156E+07
9.93244E+06 9.92661E+06 9.85824E+06 9.80901E+06 1.00683E+07 2.17908E+07 2.25965E+07 2.36422E+07
9.54467E+06 1.04533E+07 1.03247E+07 1.01667E+07 1.00944E+07 2.14842E+07 2.20989E+07 2.24412E+07
9.86383E+06 1.00914E+07 1.03214E+07 1.00181E+07 1.01101E+07 2.19893E+07 2.19575E+07 2.21523E+07
1.00118E+07 1.0071E+07 1.01434E+07 1.00305E+07 1.02559E+07 2.26135E+07 2.1905E+07 2.27591E+07
1.0236E+07 1.02282E+07 1.0123E+07 1.00633E+07 1.01533E+07 2.19675E+07 2.23148E+07 2.24197E+07
9.99173E+06 1.01916E+07 1.00285E+07 9.91784E+06 1.01422E+07 2.23704E+07 2.09626E+07 2.1693E+07
1.01044E+07 9.86763E+06 9.84455E+06 9.51461E+06 1.01378E+07 2.23186E+07 2.13913E+07 2.31893E+07
1.03898E+07 1.0011E+07 1.03258E+07 1.01859E+07 1.02718E+07 2.22083E+07 2.22328E+07 2.2817E+07
9.59274E+06 9.9043E+06 9.85643E+06 1.02424E+07 1.00725E+07 2.20866E+07 2.2267E+07 2.17435E+07
1.01852E+07 1.02674E+07 9.82848E+06 9.79624E+06 1.02828E+07 2.24963E+07 2.1506E+07 2.19895E+07
9.7944E+06 1.00678E+07 1.01637E+07 9.41664E+06 1.0264E+07 2.28929E+07 2.26722E+07 2.20462E+07
9.60513E+06 9.79098E+06 1.05001E+07 9.92437E+06 1.0153E+07 2.2224E+07 2.24673E+07 2.21438E+07
9.91775E+06 9.78632E+06 1.00235E+07 1.00823E+07 9.71004E+06 2.2669E+07 2.22239E+07 2.24881E+07
