# Open-loop AC Monte Carlo simulation mismatch-only input voltage offset
# N B M BN BM NN NV MV
-0.000859962 -0.0012946 7.82208E-05 0.000803345 0.000240249 -0.00234884 0.00083439 0.00242936
-0.00149358 -0.000127269 -0.000157244 -0.000625928 -0.000847551 0.00605055 0.0041595 0.00259404
-0.00286927 -0.00368389 0.00112467 -0.00329059 -0.00195838 0.00141621 0.00660028 0.000343409
-0.000198906 0.000638501 0.00427475 -0.00402774 0.000160186 0.000540438 0.00392388 -0.000234388
-0.00287189 -0.00117195 0.00268056 -0.000531503 0.00452308 0.00069023 -0.000624293 0.00657433
-0.00390085 0.00350226 -0.00360242 -0.00330912 -0.00188453 0.0107248 -0.000601226 0.00592469
0.00150574 0.00125378 0.000808726 0.000261346 0.00216756 -0.00457558 0.000762358 0.000524587
-0.000267478 -0.00177553 0.00439531 -2.27166E-05 -0.00190299 0.000198319 0.00621813 -0.000455926
-0.00187309 0.00594485 -0.00153505 0.00195219 0.00165928 0.00529688 0.00325047 -0.00101072
-0.0022333 0.00198687 -0.0015166 0.000468504 0.000880706 0.00324089 0.0021198 -0.00493183
-0.00475599 -0.00415863 -0.0012257 -0.00238688 0.00221953 0.0013036 -0.00193237 0.00610392
0.000784656 -0.00438249 0.00284943 0.0032384 0.0029034 0.000773709 -0.00416753 -0.00349059
0.000414489 0.00178625 -0.00201439 -0.00421651 0.00411027 0.000972078 0.00194425 0.00582659
0.000375623 -0.00296945 0.00170346 0.000777651 0.00318907 -0.00090052 0.00183752 0.00174085
-0.00461641 -0.000317692 0.00084968 0.00194971 0.00221546 -0.00387922 -0.00687257 -0.00201962
0.000354401 0.00712403 -0.00189585 0.00536995 0.000556652 -0.00624891 -0.00177264 0.00256653
0.00167134 -0.000519239 -0.00500693 0.00154291 -0.000859726 -0.0011253 -0.000276473 0.00453716
0.0027745 -0.000556417 0.00257295 0.00454125 0.00559746 -0.000179313 -0.00324938 0.00197805
0.00116253 -0.00437726 0.00229064 -0.00244991 -0.00349394 -0.00429194 0.000378135 -0.0022482
-0.000813172 -0.00150261 0.00116039 -0.00420234 0.00199428 -0.00174847 -0.00335895 -0.00314937
0.00218255 7.88622E-05 0.000495302 -0.0059784 0.00389698 0.00353747 -0.00519387 0.00520293
-0.00122819 -0.000843044 -0.000401947 -0.000913538 -0.00247877 -0.00290611 -0.00359396 0.000706347
0.00327291 0.00492659 -0.0039816 -0.00678184 0.000402631 0.000210729 0.00572202 0.00216534
-0.00319208 -0.000644909 0.0012676 -0.00086902 -0.00644047 0.0066296 -0.00403618 -0.000597605
-0.00165354 0.00184873 -0.00100764 -0.00359598 0.000819418 -0.00354553 0.00296585 0.00294691
0.0015658 -0.00124291 -0.000999823 -0.000757669 -0.00572614 0.00336201 0.00139876 0.0053474
-0.00241339 -0.000223059 -0.00261293 -0.00253028 -0.00198997 -0.00202148 -0.00232929 0.00163827
0.00617733 -0.00437091 -0.00516024 -0.00188219 0.00258165 0.0030826 -0.00856388 -0.00107726
