# Open-loop AC Monte Carlo simulation mismatch-only voltage gain
# N B M BN BM NN NV MV
35.816 36.5523 36.6745 32.5759 36.6147 69.1047 69.7386 73.3726
36.996 35.6363 36.3304 32.4986 36.2517 68.9559 67.8631 72.304
35.3163 36.2771 36.0714 31.9189 35.943 68.1549 68.8553 72.4418
35.1948 36.0932 35.9801 31.4439 35.5361 68.5584 75.6836 71.8928
36.603 36.3564 36.3667 32.1077 36.3257 70.2439 68.1313 72.7858
35.279 35.1483 36.5991 31.8421 36.1861 67.9032 69.4468 73.2855
36.5225 36.5613 36.0017 32.2777 36.0872 70.3928 69.4674 72.09
35.7474 35.5867 35.6063 32.6008 35.5618 68.6949 67.5453 72.0952
36 36.1459 36.2908 32.9909 36.5812 69.0501 70.0785 72.2904
35.0581 36.0035 36.2508 31.2482 36.1694 69.8656 70.2389 72.5002
36.0664 34.9423 36.591 31.9636 36.3754 70.3167 69.7194 72.1474
35.8191 36.2744 36.6045 32.4749 36.9562 70.2282 71.1473 73.5401
37.7497 35.565 36.2352 31.9331 36.0711 68.1891 68.2633 71.9669
36.4612 35.6748 36.7144 33.5091 36.4637 69.6353 70.7076 72.9082
37.1979 35.2088 35.8016 32.3346 36.2914 69.6157 67.9398 72.8083
36.7479 36.0308 36.3766 33.8059 36.3755 70.8189 69.1639 71.9149
38.0535 36.0619 35.9837 32.9901 36.0245 67.0929 68.7769 73.0312
35.7398 35.5579 36.3018 30.9212 36.3995 70.8258 69.4077 72.6137
36.0557 36.605 36.609 34.3484 36.7172 70.4355 69.6414 72.4748
37.6979 35.3513 36.0422 32.466 35.8242 68.2486 68.968 72.7054
36.5643 35.1723 35.8904 32.2304 36.1276 68.7521 69.4342 72.1073
35.562 36.0778 35.8248 32.624 35.9607 68.9598 69.9265 71.7353
35.4367 32.9356 36.1024 32.8039 36.2666 68.6263 68.6753 71.9672
35.7292 35.9184 36.0248 32.2126 35.8876 69.5853 68.5593 72.4716
37.6397 36.0934 36.1118 32.6991 36.1186 70.3653 71.0036 72.9585
34.5024 36.5194 36.6857 32.8798 36.4746 69.0086 70.8263 72.8066
35.6724 36.0998 36.1028 32.9033 35.6694 67.6812 69.5942 72.2033
36.602 35.7087 36.0422 31.151 35.9405 68.8192 67.5077 71.7522
37.6967 36.0899 36.4233 34.7181 36.4766 66.2646 70.0863 72.3573
36.9587 36.348 36.4877 32.6467 36.3094 68.5019 68.2421 72.7063
34.9282 36.3172 36.2867 32.3516 36.4091 70.8091 69.1637 72.9464
36.8505 35.5407 36.0618 32.847 36.147 68.3861 69.5277 72.0652
36.5048 35.8829 35.8611 33.9128 36.0066 66.599 67.9599 72.7494
36.9676 35.3463 36.092 33.4169 36.1246 69.2915 69.8997 72.3381
34.4983 35.5064 36.2825 33.4139 35.8452 67.2944 69.2074 72.3483
37.3345 35.7721 36.3948 34.3231 36.1463 69.2225 68.5273 72.5727
35.4958 35.7142 36.5575 32.4324 36.7143 69.5217 68.8474 72.7173
36.3811 36.0017 36.2513 32.2459 36.3846 69.0577 68.7893 71.8808
35.4858 36.1145 36.6816 33.361 36.3883 68.1791 70.8613 72.82
35.7213 36.8123 36.6356 33.2627 36.8159 69.9088 69.9457 72.9252
35.3145 35.8459 36.1968 32.3269 36.2903 67.3081 69.4754 73.2634
36.2723 35.7378 36.0369 33.7905 36.3265 68.3642 68.4864 72.1132
36.4861 36.4877 36.4368 32.696 35.7392 69.3829 70.8306 72.3576
36.8377 34.1197 36.423 32.1665 35.9153 69.9102 68.8192 71.8506
35.832 35.4809 35.8787 32.3148 36.0534 68.2712 68.5445 72.5767
38.2975 36.281 36.4773 32.5081 36.438 71.8179 69.5856 73.129
36.2824 36.3153 35.7458 32.8763 35.9138 70.4993 67.919 71.6503
36.6973 36.4657 36.6581 31.6539 36.2767 70.3952 70.0398 72.6876
36.3578 35.8265 36.1141 32.7559 36.2806 69.2105 69.0368 72.0296
36.7486 36.5304 36.4334 32.7301 36.1457 68.0097 69.6315 71.8342
36.3512 36.2545 36.21 33.806 36.7755 72.3684 70.0929 73.0895
38.5952 35.818 37.0439 33.216 36.6445 68.3225 68.9887 73.1045
35.9226 36.4652 36.4118 31.4257 36.3591 72.0454 70.2619 73.2765
34.8353 36.0386 36.0942 34.1953 36.1071 69.8543 69.7567 72.3351
35.3937 35.8712 36.2763 32.8463 36.0846 69.2906 68.7837 73.0607
35.3977 36.5306 36.7143 32.6871 36.1466 67.1704 69.6561 72.5483
36.8898 35.2151 36.1206 35.24 36.0904 68.2651 69.7137 72.1181
36.2402 36.0259 36.913 33.9028 36.2637 67.6534 69.1058 72.704
36.4298 36.0953 35.8345 32.5689 35.797 68.3953 68.0737 72.184
36.3945 36.4515 36.519 32.7021 36.7051 69.7882 69.8105 73.4127
36.5751 36.2599 36.4089 32.0988 36.4629 69.4137 68.2473 73.4113
37.1043 36.5231 36.6044 32.1058 36.569 67.792 69.1898 72.7907
35.7826 35.5266 35.9345 32.7953 36.028 68.8264 69.9685 72.0542
36.605 35.9548 36.0522 32.1188 36.0328 69.1415 69.2754 72.1667
36.4394 36.5854 36.8879 34.2338 36.7854 70.4273 70.4954 73.0725
37.7133 36.2995 36.7059 32.8237 36.0421 71.1914 68.5697 72.8868
35.773 36.5318 36.5594 32.329 36.2906 71.4561 69.907 73.3797
36.8329 36.4682 36.436 32.862 36.3097 70.3997 68.8778 73.1859
37.1812 33.4912 36.5557 34.3917 37.0584 70.4697 69.4183 72.8676
36.4034 36.754 36.445 33.4712 36.6012 68.3329 69.6209 72.9299
37.5676 35.7102 35.8585 32.0902 36.0608 68.4605 66.7069 71.5248
36.9763 35.7717 36.227 32.8872 36.5076 67.0717 67.6276 72.6598
36.2358 35.6958 36.2931 32.9476 36.455 68.2241 68.5901 72.4328
38.0938 36.3866 36.1623 31.3748 35.8453 69.2215 68.1116 73.2393
38.0966 35.3861 36.7529 33.1274 36.2974 70.8227 68.2172 72.0956
35.4544 36.1278 36.1099 32.5667 36.2292 166.838 69.66 71.9899
34.7943 35.6054 36.0245 32.068 35.8337 68.7116 69.4027 71.7173
36.2848 36.3844 36.8866 32.7621 36.7717 70.0238 70.7931 73.4363
37.7656 36.2748 36.4885 33.7945 36.2441 68.3969 69.3331 72.9716
35.8569 35.7323 36.0444 31.7523 36.2377 166.013 68.9329 72.7617
35.5852 36.1932 36.1111 33.5789 36.3268 70.1298 67.8278 72.5322
36.2344 36.6385 36.4705 33.2621 36.599 70.8598 69.7107 72.5176
37.3861 35.9896 36.233 33.043 36.3746 69.1927 69.6907 72.2288
35.1737 36.3282 36.7538 32.2297 36.693 68.4166 69.8186 72.9494
36.3985 35.7667 36.5991 32.4444 36.6327 69.8313 69.6975 73.1341
38.7324 36.3899 36.4182 32.5292 36.1941 67.3297 70.4017 72.4055
36.3298 36.4509 35.9564 32.3376 36.457 72.1908 68.6877 73.1927
35.9201 35.7071 35.7628 32.1422 36.4044 68.6269 68.9273 72.6227
37.8825 35.9348 36.3487 32.7001 36.0241 68.5343 70.4371 71.7222
37.3536 36.0594 36.1127 33.0472 36.1774 69.9888 69.2829 72.026
36.8009 35.992 36.386 33.864 36.2756 70.453 68.8258 72.9854
35.7838 35.9334 36.0074 33.3051 36.3178 68.7047 70.3653 72.2706
37.1675 36.1126 36.2759 32.4571 36.248 70.0292 68.7565 72.3123
36.3945 36.0745 36.7568 32.6494 36.2863 68.0162 69.4984 72.8529
36.4288 36.1251 36.6309 32.6484 36.2567 70.1626 68.3567 73.0817
35.6423 35.4562 36.2702 33.4794 36.1087 69.2246 70.0063 72.3636
36.2443 36.18 36.4342 33.316 36.471 69.1869 71.0837 72.9641
35.6815 35.7343 36.2011 32.9305 35.9701 69.6305 66.9011 72.1048
35.8984 36.6509 36.4135 33.4727 36.394 157.559 69.0311 72.6327
37.1143 36.0567 36.3582 31.4214 35.7106 68.1061 68.485 72.4332
