# Open-loop AC Monte Carlo simulation mismatch-only output common-voltage
# N B M BN BM NN NV MV
-0.0138887 -0.0118756 0.000374378 -0.0100758 -0.00917476 -0.00138584 -0.00202484 -0.000831469
-0.00272695 0.0541652 0.00459958 -0.0067544 0.0019477 0.00358517 -0.00335561 -0.0091297
-0.00898542 -0.00409345 -0.00759251 -0.018307 -0.010676 -0.0134869 -0.00595683 -0.00588825
-0.00341565 -0.0194509 0.00826119 0.00388918 -0.0127938 0.009144 0.0134847 -0.00690768
-0.00217294 -0.0253088 0.00172053 -0.00814377 -0.00662856 0.00758029 -0.0102126 -0.00510696
-0.00164781 0.0503313 0.00561353 -0.0207211 -0.0180347 -0.0183959 -0.000822277 -0.000718496
-0.0036178 0.0220167 0.000576694 0.00382468 -0.00331235 0.00583206 0.0128401 -0.00885302
-0.0162536 -0.050308 -0.0127481 0.0136187 -0.0287284 0.00274857 -0.0258982 0.00410563
0.00909145 0.0439745 0.000432352 0.00771384 0.0174624 0.00411876 -0.00678702 -0.00490165
0.00383751 -0.00465669 -0.00414174 -0.0109027 -0.0069689 -0.00330224 0.00725308 -0.0050384
0.00800341 0.0922415 0.0196947 -0.00820189 0.0169787 0.0222541 0.00866472 -0.00442269
-0.00574604 0.0418214 -0.00119966 0.00225354 0.00776868 -0.00561644 -0.000395328 0.00301965
-0.0130848 0.0256993 0.000972942 -0.00476456 0.00404525 -0.0113012 -0.00274514 -0.00658019
-0.00320715 0.0421034 0.00555307 0.0155741 0.00310985 -0.00676495 -0.00638491 0.00043771
0.00106041 -0.083716 -0.0287734 -0.00643277 -0.00595084 0.00149227 -0.00422331 0.00425951
-0.00367339 -0.0226075 0.00312464 0.0104911 0.00905923 0.00314474 0.00942173 -0.00674624
-0.00189065 0.0100604 -0.0322115 -0.00880548 -0.0203485 -0.0200707 -0.00630711 -0.00362889
-0.00993463 -0.062207 0.00243354 -0.024519 -0.00710555 -0.00858133 -0.0133716 -0.00723003
0.00725635 -0.0285706 0.012622 0.0195506 0.0209881 -0.000636756 0.0013871 -0.0059381
-0.0134641 -0.0865914 -0.0116477 -0.0263133 -0.0340641 0.011036 -0.00729786 -0.0040666
-0.00734361 0.0527946 -0.00519598 -0.0109442 -0.00592086 -0.00135983 -0.00440467 -0.00844098
0.00833116 0.0137102 -0.00288178 0.00309906 -0.0132619 0.00324267 0.00604661 -0.00615277
0.00408018 0.106378 -0.00654107 -0.00761483 0.0159036 -0.000566362 0.00407091 0.00142259
0.00189545 0.0176636 -0.00868736 -0.0196034 -0.0129713 -0.0125193 -0.0199162 0.000753319
0.000837208 -0.00642066 -0.0126713 -0.0161362 -0.0191079 -0.0162248 -0.0017972 -0.00746632
-0.00577349 -0.0201768 0.0071813 -0.0109711 -0.00124461 -0.0247917 -0.0166975 -0.00530101
0.00317521 -0.0190485 -0.00537195 -0.0011325 -0.0211204 -0.0148703 0.0108493 -0.00466634
-0.00411112 -0.0372172 0.00578578 -0.0245282 -0.000890008 -0.0155221 -0.0110161 -0.00355671
0.00298163 0.013401 0.0197483 0.0211456 0.012582 0.0162647 0.00882924 0.000680336
0.00119744 0.0333788 0.000355705 -0.00216159 -0.00969283 0.00672736 -0.0162753 0.0023811
0.00148554 -0.0306172 -0.0151599 -0.00708337 0.00647447 0.00961253 -0.00849735 -0.00263627
-0.0113787 -0.0650912 -0.00631317 -0.00438353 0.00312696 -0.00141515 -0.00573628 -0.00891873
-0.00378362 -0.053615 -0.0333768 -0.00733392 -0.0217216 -0.0415298 -0.0206863 -0.00715746
-0.00449925 -0.0813099 -0.0051409 -0.00465643 -0.0109971 -0.0116512 0.0241054 0.00927759
-0.00190185 0.0225799 0.0139802 -0.00223998 -0.0113231 -0.0167557 -0.00660541 -0.00373966
0.00232504 0.00970502 0.0077628 0.0149008 -0.000254981 0.00273556 -0.00264178 0.000696087
-0.000291429 0.0217579 0.0104524 -0.0018079 0.0108618 0.00655269 -0.00929456 -0.00716192
-0.00135436 -0.0151871 0.0108409 -0.018374 0.0162461 0.00478519 0.0143444 0.00450222
