# Open-loop AC Monte Carlo simulation mismatch-only GBW
# N B M BN BM NN NV MV
1.00892E+07 9.9073E+06 9.72848E+06 9.94677E+06 9.86464E+06 2.12044E+07 2.15721E+07 2.15474E+07
9.8842E+06 9.84628E+06 9.92042E+06 9.99227E+06 9.96889E+06 2.21441E+07 2.24199E+07 2.28172E+07
1.00695E+07 9.74141E+06 1.00278E+07 1.0122E+07 1.0154E+07 2.30134E+07 2.27105E+07 2.23689E+07
1.04156E+07 1.00515E+07 1.01257E+07 1.0058E+07 1.06905E+07 2.17802E+07 2.3982E+07 2.26547E+07
9.92915E+06 9.92553E+06 9.95956E+06 9.95776E+06 1.00798E+07 2.10362E+07 2.24367E+07 2.2033E+07
9.87312E+06 1.0084E+07 9.6985E+06 1.01854E+07 1.03083E+07 2.22419E+07 2.14496E+07 2.16118E+07
1.01941E+07 9.59516E+06 1.02297E+07 9.99002E+06 1.01775E+07 2.16554E+07 2.13462E+07 2.28787E+07
1.02592E+07 1.02416E+07 1.0293E+07 9.23082E+06 1.04747E+07 2.12218E+07 2.32866E+07 2.14194E+07
9.70453E+06 9.62278E+06 9.84364E+06 9.78104E+06 9.4693E+06 2.12064E+07 2.21041E+07 2.22094E+07
9.67138E+06 1.01463E+07 9.83589E+06 9.98506E+06 9.98354E+06 2.13871E+07 2.05606E+07 2.16629E+07
9.87843E+06 9.66775E+06 9.44618E+06 1.02648E+07 9.67844E+06 2.05087E+07 2.13308E+07 2.24802E+07
9.73385E+06 9.74176E+06 9.96033E+06 9.70324E+06 9.59339E+06 2.16241E+07 2.15319E+07 2.19136E+07
1.0341E+07 1.02862E+07 9.85712E+06 9.91853E+06 9.96579E+06 2.29486E+07 2.27476E+07 2.29295E+07
9.81507E+06 9.97299E+06 9.53192E+06 9.34603E+06 9.7601E+06 2.18721E+07 2.18735E+07 2.18174E+07
9.70009E+06 9.44996E+06 1.05136E+07 9.7704E+06 9.8181E+06 2.10551E+07 2.15599E+07 2.1278E+07
9.78473E+06 9.77066E+06 9.48091E+06 9.34406E+06 9.407E+06 2.12333E+07 2.1013E+07 2.19527E+07
9.48303E+06 9.85804E+06 1.02967E+07 9.66006E+06 1.00953E+07 2.23587E+07 2.17007E+07 2.16154E+07
9.94026E+06 1.02719E+07 9.61454E+06 1.03285E+07 9.7092E+06 2.1203E+07 2.14508E+07 2.10248E+07
9.82304E+06 9.56752E+06 9.68768E+06 9.49722E+06 9.5118E+06 2.18922E+07 2.1935E+07 2.23632E+07
1.00134E+07 1.02968E+07 1.0034E+07 1.03156E+07 1.04189E+07 2.0622E+07 2.1897E+07 2.15926E+07
9.98701E+06 9.86323E+06 1.00485E+07 1.00325E+07 9.8669E+06 2.10912E+07 2.16662E+07 2.18104E+07
9.49175E+06 9.85612E+06 1.01797E+07 9.92728E+06 1.01718E+07 2.17538E+07 2.1563E+07 2.25452E+07
9.82687E+06 9.92943E+06 9.9626E+06 1.00579E+07 9.61428E+06 2.22104E+07 2.2083E+07 2.26192E+07
9.3605E+06 9.67335E+06 9.70719E+06 1.01004E+07 9.90051E+06 2.15606E+07 2.22119E+07 2.12139E+07
9.8043E+06 1.03076E+07 1.02827E+07 1.01316E+07 1.03578E+07 2.25057E+07 2.18627E+07 2.23372E+07
9.9872E+06 9.81568E+06 9.54047E+06 9.99033E+06 9.87346E+06 2.2871E+07 2.281E+07 2.23378E+07
9.49276E+06 9.70722E+06 9.66918E+06 9.68267E+06 1.02268E+07 2.18641E+07 2.05672E+07 2.1475E+07
9.97081E+06 9.98772E+06 9.73507E+06 1.04188E+07 9.80531E+06 2.222E+07 2.27693E+07 2.20291E+07
1.00324E+07 1.02103E+07 9.73234E+06 9.51899E+06 9.74798E+06 2.16893E+07 2.2169E+07 2.30613E+07
9.89012E+06 9.72532E+06 9.866E+06 9.97435E+06 1.01764E+07 2.18752E+07 2.30666E+07 2.2423E+07
9.77184E+06 1.02328E+07 1.03309E+07 1.01593E+07 9.99039E+06 2.1001E+07 2.17453E+07 2.18437E+07
1.01425E+07 9.74139E+06 9.87546E+06 9.72813E+06 9.77369E+06 2.15266E+07 2.16289E+07 2.17683E+07
9.41995E+06 9.9807E+06 1.022E+07 9.55035E+06 9.96412E+06 2.35864E+07 2.27094E+07 2.16767E+07
1.01271E+07 1.03342E+07 1.01457E+07 9.96695E+06 1.01776E+07 2.27353E+07 2.02195E+07 2.21577E+07
1.0354E+07 1.05601E+07 9.90378E+06 1.00192E+07 1.0562E+07 2.3825E+07 2.32698E+07 2.30499E+07
9.83232E+06 1.03754E+07 9.78842E+06 9.63966E+06 1.00623E+07 2.11459E+07 2.16401E+07 2.17015E+07
9.5435E+06 9.94349E+06 9.31868E+06 9.52908E+06 9.14807E+06 2.06552E+07 2.15771E+07 2.13638E+07
1.01567E+07 9.99859E+06 9.68184E+06 1.05874E+07 9.53046E+06 2.1451E+07 2.10085E+07 2.22701E+07
9.83255E+06 9.99818E+06 9.52464E+06 9.5567E+06 9.70599E+06 2.11899E+07 2.18275E+07 2.17501E+07
1.00322E+07 9.74915E+06 9.95018E+06 9.6781E+06 9.7096E+06 2.22789E+07 2.18567E+07 2.28518E+07
9.63864E+06 9.93561E+06 9.93603E+06 1.00911E+07 9.8276E+06 2.26726E+07 2.21193E+07 2.14833E+07
9.90817E+06 1.05962E+07 1.01793E+07 1.02014E+07 9.67112E+06 2.22161E+07 2.34448E+07 2.2522E+07
9.92378E+06 9.61176E+06 9.65604E+06 1.04438E+07 1.04978E+07 2.30963E+07 2.06579E+07 2.25764E+07
9.95734E+06 9.81284E+06 9.81854E+06 9.59875E+06 1.03208E+07 2.25976E+07 2.18805E+07 2.36047E+07
9.80626E+06 9.71876E+06 1.03935E+07 9.67895E+06 1.0109E+07 2.23344E+07 2.28654E+07 2.22234E+07
1.01249E+07 1.0072E+07 9.83506E+06 1.03111E+07 9.95013E+06 2.16061E+07 2.1869E+07 2.19671E+07
1.03335E+07 9.82978E+06 1.05415E+07 1.01316E+07 1.02544E+07 2.21576E+07 2.20388E+07 2.27508E+07
9.83016E+06 9.91554E+06 9.70446E+06 1.01394E+07 1.01308E+07 2.19325E+07 2.26049E+07 2.23338E+07
1.00156E+07 9.60239E+06 1.01269E+07 9.87932E+06 9.93024E+06 2.21336E+07 2.13597E+07 2.25945E+07
1.01132E+07 9.45822E+06 9.65058E+06 9.73091E+06 1.00167E+07 2.22093E+07 2.15181E+07 2.27665E+07
9.3593E+06 9.94323E+06 1.02143E+07 9.66185E+06 9.52515E+06 2.17436E+07 2.26498E+07 2.17623E+07
1.03872E+07 1.0744E+07 9.47814E+06 1.01369E+07 9.94547E+06 2.38891E+07 2.45888E+07 2.35446E+07
1.00589E+07 1.00198E+07 9.97764E+06 1.0161E+07 1.01837E+07 2.09543E+07 2.18354E+07 2.07414E+07
1.01058E+07 1.00097E+07 9.87659E+06 9.23685E+06 9.79726E+06 2.12988E+07 2.16951E+07 2.19041E+07
1.00005E+07 9.66525E+06 9.90727E+06 9.67596E+06 1.02012E+07 2.13496E+07 2.11814E+07 2.13025E+07
9.90892E+06 9.7027E+06 9.57491E+06 1.01453E+07 1.01565E+07 2.2229E+07 2.19139E+07 2.23071E+07
9.86889E+06 9.61757E+06 1.00541E+07 9.61221E+06 1.00622E+07 2.23836E+07 1.98296E+07 2.20827E+07
9.913E+06 1.02153E+07 9.41242E+06 1.00667E+07 1.02342E+07 2.20907E+07 2.18177E+07 2.2084E+07
9.34167E+06 9.8031E+06 1.00196E+07 9.84731E+06 1.00932E+07 2.20108E+07 2.21328E+07 2.10945E+07
9.84964E+06 1.00643E+07 9.94525E+06 9.69928E+06 9.70836E+06 2.13805E+07 2.11546E+07 2.18149E+07
9.66304E+06 1.01838E+07 9.88009E+06 9.79753E+06 9.80616E+06 2.23502E+07 2.23953E+07 2.14238E+07
9.93391E+06 9.82494E+06 9.62858E+06 1.06417E+07 9.62016E+06 2.18116E+07 2.16652E+07 2.16963E+07
9.9419E+06 9.71163E+06 1.00768E+07 9.51168E+06 1.00343E+07 2.14823E+07 2.1067E+07 2.25759E+07
9.72724E+06 1.01435E+07 1.02052E+07 9.8141E+06 1.01659E+07 2.26817E+07 2.19183E+07 2.24375E+07
9.25216E+06 1.01231E+07 9.65756E+06 9.85123E+06 9.84279E+06 2.12136E+07 2.21365E+07 2.28216E+07
9.69153E+06 1.0052E+07 9.49445E+06 9.75632E+06 1.02652E+07 2.2348E+07 2.25697E+07 2.23036E+07
9.49217E+06 1.00633E+07 1.0049E+07 1.01897E+07 1.03252E+07 2.09324E+07 2.16398E+07 2.19204E+07
1.04674E+07 9.8176E+06 1.0056E+07 9.83201E+06 1.01242E+07 2.21746E+07 2.22845E+07 2.20054E+07
1.00216E+07 9.04062E+06 9.89442E+06 9.81815E+06 9.22188E+06 2.17003E+07 2.16936E+07 2.20782E+07
1.00831E+07 9.54708E+06 9.98676E+06 9.54408E+06 9.77905E+06 2.15913E+07 2.12959E+07 2.16743E+07
9.84018E+06 1.01096E+07 1.00575E+07 1.05542E+07 9.80196E+06 2.29876E+07 2.29875E+07 2.31462E+07
1.00205E+07 1.03552E+07 9.99569E+06 1.03287E+07 9.58819E+06 2.21207E+07 2.31202E+07 2.15337E+07
9.85527E+06 1.01151E+07 9.93375E+06 9.56161E+06 9.67184E+06 2.20684E+07 2.25751E+07 2.22563E+07
9.74234E+06 1.0033E+07 1.02318E+07 9.97211E+06 1.06799E+07 2.17729E+07 2.22467E+07 2.14894E+07
9.89894E+06 9.89549E+06 9.65614E+06 9.71611E+06 1.03117E+07 2.20919E+07 2.21849E+07 2.33862E+07
9.50856E+06 9.80034E+06 9.86645E+06 1.0343E+07 9.7361E+06 2.39829E+07 2.22557E+07 2.24873E+07
1.0335E+07 9.9613E+06 9.82915E+06 9.8714E+06 1.01293E+07 2.24209E+07 2.16873E+07 2.24282E+07
9.75611E+06 9.89737E+06 9.94552E+06 9.98955E+06 1.00762E+07 2.17673E+07 2.16381E+07 2.28618E+07
9.88394E+06 9.7308E+06 9.67746E+06 9.56336E+06 1.00275E+07 2.1329E+07 2.16025E+07 2.1331E+07
1.01927E+07 1.06962E+07 1.04987E+07 1.02258E+07 1.03726E+07 2.23847E+07 2.21051E+07 2.20825E+07
9.89503E+06 1.00189E+07 1.02753E+07 1.00827E+07 9.95308E+06 2.10206E+07 2.26931E+07 2.20779E+07
9.71068E+06 9.70734E+06 9.84505E+06 1.00882E+07 9.78583E+06 2.09437E+07 2.24296E+07 2.27888E+07
1.01134E+07 1.00854E+07 9.87827E+06 9.5196E+06 9.66707E+06 2.13024E+07 2.24924E+07 2.19271E+07
9.83696E+06 9.69902E+06 9.53703E+06 9.43246E+06 9.5721E+06 2.1505E+07 2.06784E+07 2.23437E+07
9.78015E+06 9.80607E+06 9.58757E+06 9.5413E+06 9.50589E+06 2.13655E+07 2.13027E+07 2.1134E+07
9.93183E+06 9.88197E+06 9.69248E+06 9.30579E+06 9.94313E+06 2.10767E+07 2.07756E+07 2.19866E+07
1.05674E+07 1.00179E+07 1.06938E+07 9.73736E+06 1.00302E+07 2.20224E+07 2.35508E+07 2.26722E+07
1.00409E+07 9.93942E+06 1.06356E+07 9.99221E+06 9.65774E+06 2.15493E+07 2.16106E+07 2.15711E+07
9.43933E+06 1.02698E+07 9.70242E+06 9.71923E+06 1.00269E+07 2.08412E+07 2.12335E+07 2.22397E+07
9.76668E+06 1.00612E+07 1.00121E+07 1.04095E+07 1.00014E+07 2.2184E+07 2.20689E+07 2.26497E+07
9.96021E+06 9.7987E+06 9.71319E+06 9.38815E+06 9.86441E+06 1.97432E+07 2.1613E+07 2.07166E+07
1.01283E+07 1.02502E+07 1.01652E+07 9.78102E+06 9.80194E+06 2.26213E+07 2.10351E+07 2.24773E+07
9.5925E+06 9.86564E+06 9.72007E+06 9.72666E+06 9.64994E+06 2.12898E+07 2.06121E+07 2.09732E+07
9.91719E+06 9.85656E+06 9.49772E+06 9.83072E+06 1.00946E+07 2.31215E+07 2.21159E+07 2.23806E+07
9.7134E+06 1.00307E+07 9.56976E+06 1.0279E+07 1.00631E+07 2.14067E+07 2.21249E+07 2.10681E+07
1.01959E+07 9.51289E+06 9.80699E+06 9.53093E+06 9.96635E+06 2.11689E+07 2.16322E+07 2.18093E+07
9.8301E+06 9.98283E+06 9.91738E+06 9.4599E+06 9.94445E+06 2.21981E+07 2.15113E+07 2.20666E+07
