# Open-loop AC Monte Carlo simulation mismatch-only input voltage offset
# N B M BN BM NN NV MV
0.00469361 0.00285195 0.00462775 0.00681626 -0.00252171 0.00338231 0.00168515 -0.00334819
-0.00612635 -0.00391567 0.000879376 -0.00421515 -0.00614309 -0.0014184 0.00464325 -0.00202767
0.000440342 -0.00277885 0.000737081 -0.00139114 0.000620003 -0.00220355 0.00104634 0.000720969
0.00359768 -0.00823254 0.000937329 -0.000222794 -0.00441195 0.00156654 -0.000969446 -5.21374E-05
0.0050773 -0.000556258 0.000498934 0.00333397 0.00428105 -0.0010327 0.00317748 -0.000472487
-0.0030924 -0.000145723 -0.00424953 -0.00233457 0.000142196 -0.00461723 -0.00398536 0.000985802
0.00324594 0.003053 0.00101849 0.00120102 0.000633511 -0.00271801 0.00163592 0.00242451
0.00383437 0.00214552 -0.00228819 -0.00281922 0.00215862 -8.71452E-05 0.00627547 -0.00226237
0.0016402 -9.2013E-05 -0.000858437 0.00437926 0.00331716 0.000898759 0.0036463 0.00439461
-0.00345627 -0.00262276 0.000605603 0.00911824 0.00132269 0.000579417 -0.00271381 -0.000958345
0.00134056 0.000756534 -0.00382033 -0.00462257 0.00173936 0.00104408 0.00299936 0.00117177
0.00117614 0.00390222 -0.000782991 0.00200747 0.000907003 -0.00297362 -0.002638 0.00535285
0.00143429 0.00333963 0.000416118 -0.00180522 0.00490266 -0.00264898 0.000518695 -0.000402141
-0.00452395 -0.00180758 0.00106961 0.000830717 -0.00237449 -0.00567768 -0.0036223 0.00170715
0.000787067 -0.00479296 0.000480697 0.0032349 -0.00475216 0.00126204 0.00123218 -0.00243548
0.00169985 -0.00382628 0.00085369 -0.00272012 -0.00193965 0.000762375 -0.00135725 0.000908264
-0.00356878 -0.00054311 0.00583769 0.00720758 0.00174703 -0.00196753 0.0016616 0.00185193
-0.00200339 -0.00214574 -0.000273481 0.00448275 -0.00463834 -0.000876465 -0.00733025 -0.000484402
-0.00212551 -0.00545814 -0.0030082 -0.00483335 0.00303794 -0.00331866 0.000152815 0.00551924
0.0016178 -0.00207724 0.00511708 -0.00551981 0.00606957 -0.00427478 -0.00169336 -0.000902057
0.00466222 -0.00123742 -0.00212111 -0.00229035 0.000246484 0.00271921 -0.000104959 -0.00502298
0.00119301 -0.00267437 -0.00540217 0.00224221 -0.00198748 -0.00396345 -0.00630431 0.00179671
0.000647587 0.00358215 -0.000938314 -0.00396053 0.000372426 -0.00129414 -0.00209428 0.000333557
0.00140408 0.000186898 0.00227062 0.000998159 -0.0021032 0.00146929 -0.00261695 0.00109317
0.00124855 -0.000632861 -0.000737806 0.00448867 0.0024269 -0.000976773 0.00376007 -0.000373772
0.00200453 0.00163184 0.000612253 0.00385082 -0.000100858 -0.00353342 -0.000296185 0.00279153
0.00142031 -0.00508602 -0.00314727 -0.000925053 -0.00512172 0.00130666 -0.00206901 0.000446297
-0.00142907 0.0042064 0.00222755 -0.00268927 -0.0015056 -0.00105211 -0.00122646 0.00224946
-0.00627483 -0.00138154 -0.00476598 0.00549791 0.0020451 0.0033387 -1.63679E-05 0.00396705
0.00202932 -0.00147306 -0.00287553 0.000904388 0.00371585 0.00228523 0.00173843 0.00424265
0.00271792 -0.000757155 -0.00256623 -0.0035571 0.00359705 0.00369973 0.00432895 0.00319911
-0.00152739 0.00288793 -0.00559476 0.00255946 0.000471829 -0.00153136 0.00465882 -0.000869379
-0.00255941 0.00143891 0.00020872 0.00257595 -0.000576653 -0.00301474 -0.00452482 0.00253744
-0.00235334 0.000411346 -0.00473446 -0.00448361 -0.000209348 -4.10093E-05 -0.000230938 0.0070079
-0.00234615 0.00225384 0.00502549 -0.000380171 0.00100815 -0.00127533 0.00368475 0.00116861
-0.00453824 0.00203588 0.00191801 0.0056926 0.00123028 -0.00160157 -8.20207E-05 0.00186081
0.0025657 -0.00576056 0.0016327 0.00329368 0.00355358 0.000272286 0.0019379 0.00216655
-0.00695518 -0.0030705 -0.00173732 0.000305106 -0.00163589 -0.0052609 -0.00413203 -0.00211795
0.000513125 -0.000325282 0.00188228 0.00741895 0.00191534 0.00154808 0.00668744 0.000604847
0.000706249 0.00285103 -0.00323732 0.000630541 0.00124505 -0.00114124 -0.00145057 0.0026419
0.00374091 0.00148596 -0.00640463 -0.00989902 -0.000373897 0.00263289 -0.00379771 0.00269385
0.00206535 -0.00337679 -0.00375254 0.000708806 0.000223355 -0.000776194 -0.00893942 0.000744483
-0.00229589 -0.00190001 -0.00149621 -0.00110084 0.00296738 0.00139401 0.000952081 0.00406715
-0.00528581 0.0019037 0.00170872 0.0080843 -0.00189842 0.00516736 0.00112676 0.00559882
0.00170093 0.00379896 -0.00563183 -0.00378919 0.000104915 -0.00146686 0.00336997 -0.000853861
0.00220284 0.00288241 0.00280667 -0.00137707 0.000128958 -0.0036711 0.0054054 -0.000436117
0.0023411 -0.000183495 -0.0025739 -0.00541046 -0.00101969 -0.00552497 0.0116779 -0.00221367
-0.00411569 0.0016461 0.00086018 0.00401237 0.00351846 -0.00184035 -0.000281394 0.00427309
0.00381829 0.0035979 -0.00106408 0.00631535 0.00101014 0.00125232 0.00519742 0.000457517
-0.0022555 0.00464575 0.000507541 -0.00564813 -0.00112573 -0.00229102 -0.00125331 0.0044956
0.00114471 0.00344575 -0.00252293 0.00347549 -0.00165185 0.00101833 0.00182454 0.00143038
0.00245554 0.00340172 0.00200544 -0.00398116 0.000141921 -0.000307001 0.00181933 0.00883332
