# Open-loop AC Monte Carlo simulation mismatch-only phase margin
# N B M BN BM NN NV MV
90.8055 90.7319 90.7183 91.2275 90.7243 61.1577 61.3526 61.1743
90.6915 90.8305 90.756 91.2431 90.7646 60.2325 60.9365 60.4717
90.8633 90.7624 90.7815 91.3363 90.7953 60.0103 60.3329 60.2289
90.8797 90.7841 90.7936 91.4206 90.8417 61.2657 -8220.98 61.3608
90.7224 90.7483 90.7456 91.299 90.7498 61.2516 61.6368 61.2559
90.868 90.8846 90.7291 91.3493 90.7703 60.9544 61.2725 60.9586
90.7372 90.735 90.7896 91.2782 90.7808 60.6578 61.2697 61.0418
90.8206 90.8401 90.8358 91.2316 90.8406 61.2736 61.9234 61.5055
90.7909 90.7774 90.7609 91.1696 90.7324 61.2547 61.4381 61.1901
90.8918 90.789 90.7618 91.4516 90.77 61.3045 61.786 61.4359
90.7816 90.9079 90.7287 91.3283 90.7502 61.1706 61.603 61.2881
90.8059 90.7605 90.7258 91.244 90.6923 60.4575 60.8954 60.7148
90.6235 90.8377 90.7654 91.3346 90.7823 60.5773 60.8303 60.3201
90.7432 90.8267 90.7187 91.0943 90.7433 61.025 61.3053 61.0826
90.6694 90.8762 90.8071 91.2647 90.7567 61.2835 61.8508 61.3629
90.7182 90.7919 90.7547 91.057 90.7553 60.8134 61.4578 61.2704
90.5997 90.7861 90.7923 91.1691 90.7884 60.4209 60.5675 60.1639
90.8168 90.8387 90.7586 91.5133 90.7477 61.689 62.4477 62.0137
90.7847 90.7317 90.7293 90.9832 90.7189 61.6249 61.9703 61.6413
90.6289 90.8627 90.7858 91.2485 90.8089 60.7067 61.4193 60.9614
90.7314 90.8812 90.8001 91.2843 90.7757 61.658 61.7922 61.7279
90.8373 90.7839 90.8086 91.2241 90.7943 61.3369 61.5832 61.326
90.8502 91.1755 90.7786 91.1956 90.7622 60.164 60.6499 60.4163
90.8192 90.8005 90.7883 91.2894 90.8021 60.5796 61.1097 60.633
90.6304 90.7784 90.775 91.2092 90.7744 60.1477 60.3494 60.2759
90.9575 90.7357 90.7181 91.1815 90.7382 60.3713 60.6348 60.5164
90.825 90.7815 90.7794 91.1817 90.8254 61.2932 61.5665 61.177
90.7302 90.8242 90.787 91.4731 90.7978 61.1856 61.6512 61.3623
90.6294 90.7831 90.7476 90.9378 90.7425 60.5211 60.5971 60.3032
90.6914 90.7523 90.7365 91.2168 90.7542 60.5045 60.9774 60.5062
90.9059 90.7558 90.7569 91.2633 90.745 61.6176 62.0246 61.7709
90.7055 90.8422 90.784 91.1903 90.7753 61.5808 61.9034 61.7871
90.7396 90.8049 90.8053 91.0398 90.7906 59.9992 60.3739 59.9048
90.6934 90.862 90.7794 91.106 90.7766 61.0865 61.3986 61.1869
90.959 90.8425 90.7585 91.1054 90.804 60.3127 60.8609 60.3628
90.6596 90.8147 90.7488 90.9852 90.7741 61.5969 62.0493 61.8227
90.8437 90.8217 90.7331 91.2533 90.7181 61.0867 61.5298 61.1408
90.7521 90.7929 90.7658 91.2845 90.7528 61.2806 61.7462 61.4161
90.8413 90.7759 90.7178 91.1111 90.7467 61.0174 61.2071 61.1757
90.8173 90.7086 90.7238 91.127 90.7067 59.9927 60.4055 60.264
90.8649 90.8087 90.7698 91.2707 90.7607 59.9994 60.2264 59.8559
90.7607 90.8176 90.7841 91.0533 90.7551 61.0405 61.4406 61.0341
90.738 90.7397 90.743 91.2098 90.8152 60.2087 60.5176 60.3537
90.706 91.0106 90.746 91.2956 90.7979 60.161 60.7723 60.3959
90.8071 90.8478 90.802 91.2716 90.7837 60.3929 60.9064 60.4534
90.5742 90.7582 90.7372 91.237 90.7408 60.151 60.7782 60.4682
90.7602 90.7593 90.8169 91.1853 90.7989 61.3979 62.0603 61.6396
90.7192 90.7435 90.7233 91.3815 90.7609 -7139.11 61.3587 61.22
90.7523 90.8103 90.7772 91.2029 90.7603 61.6476 62.1007 61.6203
90.7117 90.7349 90.7427 91.2044 90.7718 61.3197 61.6155 61.3077
90.7546 90.7657 90.7685 91.0538 90.7131 60.9996 61.7298 61.5398
90.5524 90.8077 90.6845 91.1326 90.7224 59.114 59.3957 59.1592
90.7935 90.7395 90.7435 91.4173 90.7488 62.1431 62.7767 62.7085
90.9191 90.7864 90.7787 91.0011 90.7778 60.8907 60.9935 60.9218
90.8554 90.8055 90.762 91.1904 90.7813 60.5165 61.0412 60.8421
90.8538 90.7366 90.7167 91.2127 90.7733 61.1328 61.3214 61.1631
90.7007 90.8768 90.7768 90.8748 90.7796 61.9015 62.1418 61.9094
90.7662 90.7899 90.7004 91.0415 90.764 61.7159 62.034 61.7022
90.7464 90.7819 90.8075 91.2322 90.8116 62.1761 62.5137 62.2087
90.7481 90.7443 90.736 91.2101 90.7178 60.8213 61.2262 60.9224
90.7316 90.7643 90.7478 91.3068 90.7426 60.3362 60.7868 60.235
90.6829 90.7402 90.7306 91.3072 90.7343 61.8689 62.0401 61.6501
90.8147 90.8453 90.7987 91.1997 90.7893 60.4101 60.8103 60.6864
90.7306 90.798 90.7858 91.3055 90.7883 61.0631 61.2315 61.1373
90.7429 90.7303 90.6994 90.9949 90.7097 60.6215 60.9099 60.692
90.6265 90.7597 90.7187 91.1928 90.7848 59.9407 60.645 60.1972
90.8125 90.7361 90.7312 91.2684 90.7587 60.4507 60.9153 60.7308
90.7081 90.7458 90.746 91.1889 90.7598 60.5085 61.1581 60.784
90.6733 91.0958 90.7327 90.9761 90.6853 61.3094 61.6022 61.4972
90.7459 90.7134 90.7416 91.0965 90.7261 61.7708 62.1435 61.9441
90.6417 90.8243 90.8062 91.3103 90.7855 60.3905 60.8718 60.311
90.6925 90.8146 90.7653 91.183 90.7379 61.5339 61.9158 61.4872
90.7657 90.8239 90.7599 91.1757 90.744 60.9143 61.1617 60.7504
90.5972 90.7539 90.7749 91.4328 90.8081 60.9053 61.2131 61.0396
90.5934 90.8564 90.7132 91.147 90.758 61.0653 61.6364 61.526
90.8455 90.7749 90.7751 91.2293 90.7635 -1020.18 60.7943 60.487
90.9232 90.8319 90.7857 91.3108 90.8059 60.9284 61.2552 61.0967
90.753 90.7452 90.6941 91.195 90.7053 60.5628 61.0927 60.6084
90.6196 90.7604 90.7373 91.0519 90.7617 61.1564 61.538 61.3121
90.8046 90.8192 90.7846 91.3648 90.7651 -658.966 61.9058 61.7525
90.8313 90.7682 90.7747 91.0809 90.7529 61.4838 62.0406 61.6081
90.7629 90.7245 90.7392 91.1261 90.7262 60.7951 61.1593 61.018
90.6571 90.7941 90.7672 91.1624 90.7533 61.3864 61.5387 61.5055
90.8815 90.7587 90.7154 91.2869 90.7212 60.5694 60.7079 60.3948
90.7456 90.8127 90.7259 91.2484 90.723 61.2161 61.6078 61.4067
90.5444 90.7514 90.7472 91.2387 90.7698 61.5499 61.7596 61.542
90.752 90.7417 90.7905 91.2652 90.7397 59.3645 60.2568 59.935
90.7984 90.8237 90.815 91.3003 90.7492 61.3813 61.7924 61.3273
90.6135 90.7986 90.7546 91.2125 90.7882 62.4964 62.5465 62.5396
90.6579 90.7842 90.777 91.1589 90.7705 61.0734 61.4201 61.2448
90.7093 90.7918 90.7498 91.045 90.7603 61.5717 62.2779 61.8255
90.8141 90.7999 90.7902 91.1239 90.7589 60.7683 61.0376 60.9676
90.6753 90.7792 90.761 91.2492 90.7637 62.357 62.7549 62.4433
90.7459 90.7807 90.7108 91.2163 90.757 60.1865 60.6547 60.19
90.748 90.7803 90.7283 91.2215 90.7655 61.6097 62.1571 61.7851
90.8285 90.8522 90.763 91.099 90.7793 61.4787 61.8546 61.6443
90.7639 90.7725 90.745 91.1204 90.7413 60.6453 60.9428 60.7845
90.8222 90.8192 90.7677 91.1756 90.7914 60.9889 61.4848 61.0643
90.793 90.7186 90.74 91.0915 90.741 4380.4 60.9251 60.747
90.6824 90.7881 90.755 91.4245 90.8226 60.4855 60.7749 60.5036
