# Open-loop AC Monte Carlo simulation mismatch-only regulated supply voltage
# N B M BN BM NN NV MV
2.44762 2.41117 2.39462 2.43492 2.42275 2.39407 2.39714 2.39893
2.4566 2.43472 2.44762 2.48227 2.45389 2.44855 2.46598 2.48038
2.32559 2.28148 2.31844 2.34833 2.34075 2.34448 2.32256 2.30242
2.40662 2.37263 2.36145 2.36272 2.44379 2.3534 2.3334 2.39884
2.2861 2.27745 2.27547 2.30513 2.30304 2.24618 2.32392 2.29258
2.38715 2.43403 2.35549 2.44949 2.44835 2.4326 2.36423 2.37662
2.47147 2.37883 2.45994 2.4468 2.4626 2.4257 2.39883 2.4809
2.45127 2.45478 2.44457 2.32554 2.48449 2.37864 2.49732 2.38124
2.47759 2.4593 2.49982 2.49263 2.44935 2.48538 2.53325 2.53036
2.36625 2.4183 2.39262 2.42229 2.40554 2.39656 2.3364 2.39642
2.43723 2.40327 2.38183 2.49386 2.40661 2.37662 2.42602 2.4861
2.51578 2.50523 2.5166 2.49694 2.47623 2.5085 2.49381 2.50491
2.40826 2.38606 2.34742 2.36581 2.34561 2.4013 2.37183 2.38194
2.51816 2.53628 2.48266 2.45125 2.50445 2.53549 2.53296 2.51782
2.34165 2.34289 2.45453 2.36614 2.3652 2.34039 2.3611 2.33687
2.44138 2.42429 2.40305 2.38542 2.39352 2.4206 2.39919 2.45518
2.4229 2.46317 2.53564 2.45748 2.50646 2.48945 2.43853 2.43149
2.30021 2.34195 2.25566 2.3605 2.27267 2.29564 2.30607 2.28246
2.46286 2.44389 2.44168 2.42055 2.42034 2.49994 2.49068 2.51327
2.35935 2.40365 2.35917 2.40701 2.42395 2.26775 2.33757 2.31868
2.3259 2.31422 2.32293 2.33941 2.31638 2.29544 2.31655 2.32108
2.29927 2.30996 2.36048 2.33934 2.38686 2.33285 2.32278 2.37126
2.32983 2.35523 2.35689 2.36805 2.28937 2.34341 2.32953 2.35118
2.32882 2.36141 2.36846 2.42482 2.39529 2.37943 2.4092 2.33946
2.32082 2.36613 2.37459 2.38052 2.39799 2.37071 2.32238 2.33807
2.38203 2.35605 2.32581 2.3913 2.36258 2.43579 2.41416 2.37313
2.33923 2.35314 2.36294 2.36653 2.42689 2.40816 2.3136 2.37034
2.3607 2.3612 2.32529 2.42685 2.33693 2.38844 2.39683 2.35967
2.49817 2.50234 2.44485 2.43624 2.4654 2.45533 2.47705 2.52259
2.32346 2.3014 2.3182 2.33256 2.35739 2.30807 2.38453 2.32874
2.35172 2.39592 2.41261 2.38972 2.35989 2.33344 2.38335 2.37146
2.37416 2.3491 2.34459 2.33841 2.32699 2.34395 2.35393 2.35598
2.37842 2.45349 2.49069 2.40081 2.44785 2.51778 2.44803 2.39047
2.32406 2.36309 2.319 2.3131 2.33847 2.35171 2.20143 2.29173
2.3671 2.39413 2.31041 2.35373 2.40387 2.41731 2.37599 2.36645
2.44579 2.51802 2.43497 2.41219 2.47012 2.44248 2.45798 2.46305
2.45028 2.49673 2.41007 2.45232 2.39718 2.42779 2.48501 2.46698
2.3603 2.33481 2.30911 2.43038 2.28588 2.33141 2.29627 2.35428
2.36184 2.37684 2.32321 2.32807 2.34563 2.33975 2.36855 2.36136
2.51131 2.46857 2.5047 2.47647 2.46795 2.4843 2.45526 2.49933
2.4011 2.45182 2.43961 2.46612 2.42818 2.4523 2.41919 2.38232
2.3126 2.39783 2.33691 2.35946 2.26803 2.34086 2.39642 2.33492
2.33036 2.28035 2.3022 2.39669 2.40003 2.38114 2.2384 2.34292
2.38822 2.38418 2.3589 2.34328 2.41916 2.40081 2.36442 2.43268
2.3723 2.37206 2.44667 2.36786 2.41333 2.41975 2.43963 2.38274
2.38218 2.37355 2.32942 2.40222 2.36191 2.32774 2.34234 2.33807
2.33266 2.27116 2.35974 2.31871 2.31376 2.32935 2.30894 2.33604
2.41736 2.42004 2.39698 2.45365 2.44804 2.43354 2.46346 2.44937
2.36406 2.31946 2.36626 2.34478 2.34933 2.38025 2.3375 2.40346
2.37442 2.27948 2.31761 2.32984 2.36979 2.38835 2.33781 2.40521
