# Open-loop AC Monte Carlo simulation mismatch-only voltage gain
# N B M BN BM NN NV MV
37.1535 35.8225 36.3607 31.7918 36.2145 70.7963 69.753 72.6229
34.7762 35.8048 36.0818 33.0631 36.4529 69.5967 68.8619 72.8907
35.3542 35.5056 36.1749 32.2667 35.8933 68.9888 67.0909 72.7255
36.4387 36.2292 36.1954 32.3841 36.2756 68.7056 68.2512 72.9488
34.8326 36.301 36.3461 33.0921 36.3901 72.3505 70.068 72.7328
38.6504 35.9225 36.1254 32.7745 36.2958 69.4125 69.6117 72.9834
36.3119 36.1946 36.417 33.2458 35.9236 67.7598 68.7878 73.1366
38.0133 35.8465 36.4836 32.5744 36.1972 69.2501 68.9462 72.5462
35.7989 36.2194 36.6138 31.9601 36.6749 68.8007 69.8425 72.7421
36.6138 35.9696 36.4162 32.5581 36.2208 69.4699 69.5855 72.8054
36.367 36.3636 35.9326 31.2273 36.6462 69.8594 69.3481 72.4217
35.7364 36.4206 36.2242 32.0706 36.4074 66.995 68.132 72.5758
36.5648 36.5465 36.3683 32.4445 36.5053 68.3483 68.8039 72.7722
36.8246 36.5047 36.0252 32.7534 36.2403 71.1295 69.2708 72.28
36.2318 35.4776 35.815 32.8278 36.033 69.2579 67.4861 72.6274
37.1919 36.2133 36.5878 31.9133 35.9656 69.2889 68.7003 72.8949
38.0648 36.2365 36.6121 34.5046 36.4115 69.3785 68.9241 73.3443
36.1338 36.4645 36.5181 32.2336 36.3711 68.7023 69.7198 71.6894
37.6278 35.2536 36.0609 32.4868 36.1954 70.2554 69.5643 72.7581
35.4069 36.4069 36.1331 33.6307 36.2045 69.9141 69.3191 72.7471
35.9142 36.2009 36.2262 32.3292 36.6187 68.5884 68.6085 73.0251
35.8714 35.9595 36.2664 32.5866 36.3525 68.6651 69.6362 73.2115
35.0036 36.0498 36.1632 32.734 36.6753 68.7062 69.0943 72.5119
35.7295 36.156 36.1244 32.7765 36.4652 68.1268 69.1738 72.3797
35.6457 36.4493 36.4749 34.2811 36.3219 71.3013 68.3755 72.3794
37.3846 35.7315 36.003 35.2274 36.3989 70.9676 69.4491 72.7422
37.3868 36.2658 36.5096 33.1014 36.5183 70.1587 69.0695 72.7914
36.9019 36.1797 36.2333 33.6313 36.1206 69.6208 68.5076 72.317
38.0138 35.9515 36.5177 31.8104 36.4224 70.0887 70.4603 72.5853
35.8492 35.8778 36.0997 32.5945 36.2087 68.367 68.6773 72.6345
38.0719 36.1963 36.4461 33.6417 36.7355 69.5885 68.3037 72.4688
36.4914 35.943 36.3261 32.206 36.4829 72.1405 69.1961 72.5638
36.9194 36.2612 36.4585 33.7537 36.1966 70.2067 69.8318 73.003
36.3632 35.9171 36.2503 33.4231 36.4432 67.5899 68.3727 72.7335
35.8844 35.776 35.8159 32.5655 36.0176 68.3536 70.429 72.6566
38.8202 35.7832 35.871 31.9417 36.2495 69.7956 69.1513 73.0726
35.2946 36.2371 36.7171 32.6528 36.4473 67.55 68.6563 72.5728
37.0288 35.9937 36.6175 31.6255 36.3839 68.3036 68.9516 71.9149
37.3606 35.8344 36.5479 33.4795 36.0322 68.7932 69.4801 72.7506
37.3852 35.0771 35.9185 33.0319 36.3651 69.7969 68.999 73.3727
37.3743 35.7759 36.5377 32.3976 36.5846 70.6377 69.4377 72.2762
35.57 36.4712 36.2636 31.7495 36.3846 70.1375 70.001 73.2194
34.7901 35.8424 36.2747 32.6858 36.5907 68.9808 68.415 71.856
35.2781 36.1266 36.2327 32.4562 36.2785 67.7109 70.1684 72.9888
36.9463 36.1138 36.5279 33.2664 36.3391 69.4113 68.4552 72.2523
37.3736 35.8097 36.1118 33.3403 36.4731 69.4691 68.3824 72.2065
36.0939 36.2062 36.0458 33.0993 36.3466 70.6462 68.808 72.7334
37.33 36.1352 36.247 33.6024 36.03 69.62 69.111 72.8325
35.5114 36.2255 36.2702 33.89 36.3561 69.629 68.4721 72.6111
36.0497 36.196 36.1396 33.1585 36.5558 69.5183 70.2463 73.202
36.8288 35.3564 36.4168 33.3177 36.4545 70.0073 69.4139 72.402
36.2863 35.6708 36.0954 34.0247 36.6825 71.041 68.6538 72.3927
37.5366 35.7511 36.1031 31.9573 36.7763 67.4442 68.8906 72.583
36.931 36.4476 36.3476 32.68 36.6133 70.6545 68.958 72.6932
36.2866 36.1355 36.3673 32.1249 36.1991 69.6135 69.3727 72.8161
36.8248 33.8621 36.3584 32.4621 35.9725 71.5303 69.3017 72.9292
34.4288 36.285 36.2185 32.9021 36.3866 69.5268 68.3565 72.9755
36.4268 36.0098 36.3603 32.6962 36.3956 69.4763 69.2315 73.1949
40.8147 36.4959 36.4363 33.1324 35.9382 68.6952 69.6517 72.2193
36.435 35.9686 36.2093 33.3485 36.5135 68.1136 69.6198 72.8438
35.7965 36.4204 36.3948 32.9701 36.2448 70.0461 68.2424 72.1146
36.0216 36.1577 36.6165 33.4993 36.3478 68.046 69.2295 73.1441
36.5994 35.1891 36.5609 31.4384 36.2924 69.562 69.5094 72.524
35.0873 36.3077 36.1312 33.4451 36.566 68.0306 70.5551 72.0374
35.2695 36.437 36.3973 32.1707 36.1017 68.875 68.2385 72.636
35.3633 36.7446 36.2244 33.6747 36.1157 69.0628 69.459 73.2589
35.2393 36.1564 36.2757 32.5443 36.3579 68.9738 68.6573 73.275
36.6475 36.2287 36.4629 33.8069 36.4694 71.0314 69.9227 72.2982
36.439 35.369 36.5965 33.1544 36.3126 68.4143 70.2247 72.506
35.3985 35.9926 36.1905 33.6367 36.7398 70.0633 70.0063 73.1031
36.9325 35.2497 36.2118 33.3307 36.3821 68.7158 68.7336 72.7525
36.121 36.7144 36.5469 31.8464 36.247 70.1915 68.7387 72.804
35.8824 35.8209 36.4813 32.3155 36.0471 68.0585 70.5154 72.0704
37.579 36.7267 36.045 31.3815 36.2804 69.0188 68.573 72.7385
36.1232 36.1621 36.2213 32.3493 36.3551 69.0854 69.2916 72.5716
34.8869 35.7062 36.0851 32.0686 36.2792 71.5918 69.6138 72.2157
35.4 35.7838 36.2779 33.1392 36.3732 70.6448 68.8962 72.4407
36.6104 36.357 36.0742 33.8423 36.2038 69.8529 68.3288 72.9747
36.5586 36.1182 36.651 34.4811 36.1042 70.9729 68.5546 72.3912
33.5467 35.9191 36.4016 33.6996 36.4798 67.8705 70.3834 72.5673
35.3656 35.833 36.0654 31.9817 36.5329 69.8352 69.3566 72.3787
38.0029 36.3874 36.3052 32.1935 35.9892 68.1349 68.987 72.2432
36.5905 36.785 36.4108 33.1181 36.6073 69.2544 69.7601 73.5547
35.0174 36.1495 36.2269 33.7989 36.4688 66.7072 69.9699 72.1004
35.7359 36.4039 36.6123 33.7977 36.3482 68.1007 69.7093 72.4874
36.4783 36.2658 36.469 31.7082 36.5853 70.1336 69.7059 72.9995
36.7195 36.3359 36.2722 31.4778 36.1594 68.6054 69.9009 72.7869
37.5346 35.9291 36.2561 32.6827 36.3925 68.2097 69.7381 72.4319
34.6687 35.9741 36.5036 34.1613 36.4464 69.7823 68.2396 72.458
35.4347 35.3522 36.4539 32.8568 36.026 69.8898 70.331 72.6914
36.4208 36.8743 36.222 32.0577 36.3539 69.0964 69.4168 72.9727
36.6781 36.5071 36.416 32.5466 36.1807 68.4152 68.8425 72.7412
35.6486 36.0039 36.2171 31.0833 36.4586 67.5805 68.3501 72.8739
36.5082 36.2584 36.2513 32.6277 36.2275 69.199 70.1266 72.7204
36.7095 36.4387 36.2502 33.7671 36.4326 69.5628 69.1916 72.45
38.0965 35.8585 36.3803 33.4715 36.2575 69.9774 68.7968 72.5272
36.0147 35.2217 36.1947 32.5016 36.5623 69.3295 69.4223 72.4017
