# Open-loop AC Monte Carlo simulation mismatch-only output common-voltage
# N B M BN BM NN NV MV
-0.0125432 0.0186674 0.00295737 -0.0129407 -0.00587589 -0.00751713 0.00065344 -0.00835453
0.000691355 0.0396115 -0.0127949 -0.00650347 -0.000330539 0.00747922 -0.00844818 0.00307614
-0.00138804 0.0416807 -0.00613281 -0.00623783 -0.030308 0.00159467 -0.0166908 -0.00423681
0.00769847 -0.00635795 -0.00790148 0.00436648 -0.00242539 -0.0171818 -0.00602637 -0.000742724
-0.00956027 -0.00568035 0.00136715 -0.000275222 -0.00259816 0.0134315 -0.00215682 -0.000943632
0.00594218 0.0132366 -0.0118056 -0.0195993 -0.00933203 -0.00995385 -0.0331225 -0.00376066
0.00234708 -0.0318016 -0.0046 -0.0259554 -0.0220009 -0.0191715 -0.0233824 -0.00546435
-0.00352887 0.0163974 0.00574073 0.0136279 -0.00291361 0.00506557 -0.0136175 -0.00575695
-0.0062339 -0.0302315 0.00663157 -0.0127486 0.00584787 -0.0250865 0.00102992 -0.00409844
0.00445632 -0.0526104 0.00172028 0.00237628 -0.00235073 -0.00213231 -0.00438358 -0.00475753
0.000739452 0.00978865 -0.011377 0.000181339 0.012072 -0.00939848 -0.00703931 0.00580456
-0.0104323 -0.0246343 -0.00488683 -0.000958674 0.00756197 -0.013696 -0.00638162 -0.00381964
-0.00168364 0.000466997 -0.0048915 -0.0208736 0.00548877 -0.00761168 -0.00942719 -0.0050237
-0.00662699 0.0172259 -0.0109357 -0.00193778 0.000753027 -0.00140223 -0.0053217 -0.00767984
-0.00277124 0.00450936 -0.0221548 0.00419425 -0.0161169 -0.00436588 -0.0249876 -0.0031441
-0.0120153 -0.0357944 -0.00834694 -0.0190024 -0.0112101 -0.00162995 -0.0197228 -0.00263814
-0.00468899 -0.0322171 0.00259207 -0.00487371 -0.0156641 -0.0187259 -0.00887563 -0.00310019
0.0183317 -0.000415959 0.0252251 0.00582392 0.0178078 0.0232557 0.0161178 -0.00225097
-0.00833883 -0.0897383 -0.0209178 -0.0287999 0.00019944 -0.00319366 -0.0141695 -0.00556877
-0.017543 0.0596999 -0.00927282 0.00210117 -0.00250319 0.00594519 -0.00592408 0.00116278
-0.0104417 0.0362542 -0.0142194 -0.00904467 -0.00161145 -0.012436 -0.0245116 -0.00570969
-0.00749811 -0.016888 -0.0169761 -0.0214724 -0.00729673 -0.00714346 -0.00318295 -0.000717709
0.00584399 0.0353356 -0.00330556 0.0162895 0.0186391 0.000356371 0.000574465 -0.00109287
0.00338563 -0.0344016 -0.00626246 0.00385837 0.00138981 -0.00311594 0.0025699 -0.00706933
0.0119076 0.0124921 0.0101338 0.0178665 0.00494404 0.00547789 0.00535364 -0.00537753
-0.0138932 -0.0619562 -0.0174184 -0.0029567 -0.00250812 0.00157663 0.00346796 -0.00320899
-0.000927802 0.0016888 0.00764346 -0.0189623 0.0011386 0.00020281 -0.00468998 -0.00509064
0.0027826 0.0282024 0.00653086 0.0012594 -0.00604874 -0.00257754 0.00407562 0.00346744
0.0120368 0.0137765 0.0135502 0.0150749 0.00120746 -0.00878073 0.0123258 0.00282086
-0.00235191 0.0136138 -0.00963309 0.00554416 -0.0156718 0.00151444 -0.00459159 -0.00136513
0.00778031 0.0346106 0.00370384 0.0066206 0.0153725 -0.00120521 0.00212805 0.00363879
-0.00363487 0.0227464 0.00940121 -0.000743919 0.00849515 0.00676561 0.0209309 0.00527004
-0.00858928 -0.0445969 0.000291818 -0.0104852 -0.0064163 -0.0145157 -0.00142462 0.00706327
-0.0131186 0.0518142 -0.0102566 0.00119081 0.00257968 -0.0232262 -0.0188839 -0.00460216
-0.00877562 0.0268861 -0.0221883 -0.0116468 -0.0141064 -0.00452256 0.000398383 -0.0075264
-0.0155724 0.0262581 -0.032771 -0.0213288 -0.0107767 -0.0167786 -0.00846669 -0.0060107
-0.00419112 -0.0330733 0.0106663 0.000970889 0.00639003 -0.0106469 -0.000585643 0.00618342
0.0123033 0.0170581 0.0174941 -0.00903008 0.0196164 0.0180228 0.00493312 -0.00933966
-0.0100822 0.00625466 0.00236813 -0.0188237 -0.0108025 -0.0180162 -0.0144647 -0.00616097
-0.0323393 0.028833 -0.0352511 -0.0118264 -0.0197531 -0.0236123 -0.0278149 -0.0137339
0.0056563 0.0397845 0.0129358 0.00566559 0.0123816 0.00204797 0.00942415 -0.00198247
-0.0230859 -0.0266529 -0.0150071 -0.022995 -0.0157584 -0.00686715 -0.00915438 -0.00139055
0.00278246 0.0523148 0.0156219 0.0159724 0.0276206 0.0281107 0.00912806 0.000997303
-0.00484814 -0.0515008 -0.00379142 -0.00676719 -0.00755727 -0.00898882 0.012317 -0.00527075
-0.00309224 0.0276893 0.011657 0.00305192 0.00228237 -0.00403237 0.00155781 -0.00470638
0.00417157 0.0446877 -0.00199963 0.00736983 0.0177139 -0.0041902 0.000567015 -0.00925747
-0.0102467 -0.0142782 -0.0159598 -0.0121498 0.000615963 -0.00753871 -0.000244092 -0.00106284
-0.00831648 -0.0462265 -0.00952695 -0.0038466 -0.0165004 -0.00938 -0.0110351 -0.00202346
-0.00620546 0.043549 0.00123433 -0.00621305 -0.000281677 0.00828948 -0.00753306 -0.000822344
-0.0143722 -0.0476794 -0.0204355 -0.018159 -0.00609449 -0.00138411 0.00569478 0.00119593
0.00199447 0.0566802 0.0123503 0.00214965 0.00931351 0.000764836 0.00224531 0.00243876
-0.00232096 0.0441063 -0.00738446 0.00592228 0.0110057 0.00206746 -0.00725101 -0.000590472
-0.00803176 0.0244532 -0.0163591 0.00226675 0.0121591 0.00207233 0.000448502 0.00436378
-0.0042263 -0.0208159 -0.000496128 0.00803886 0.00988559 0.00138437 -0.000198908 -0.00520376
-0.0219268 0.0156812 -0.000674945 -0.0114121 -0.016063 -0.00103444 0.00164458 -0.00273424
-0.0105429 0.0785634 -0.00745385 -0.0135036 -0.0287413 -0.00176577 -0.0172559 0.00201319
-0.015847 0.025336 -0.0118541 -0.00122152 -0.00796534 0.00105897 -0.00244818 0.00256386
-0.0201943 -0.00502703 -0.00983334 -0.0246725 -0.00949629 -0.0133589 -0.0279576 -0.00388795
0.00483305 -0.0201697 0.00624741 0.00154347 -0.00436765 -0.000517388 0.00590552 -0.0111357
-0.00399451 -0.0113475 -0.00397564 0.0103945 0.00141054 -0.00473207 0.00387319 -0.0118038
0.0205638 0.0356722 0.0158938 -0.0214004 0.0174576 0.020157 0.00131509 -0.00260057
-0.0223061 -0.0121936 -0.0106417 -0.0141423 -0.0262531 -0.0290553 -0.0113774 -0.000980498
0.00718507 0.0523028 0.0077695 -0.00358104 0.00386208 0.0189887 -0.0111388 -0.00425266
0.0128616 4.12938E-05 0.00625484 0.0124138 0.0207961 0.00428107 0.0184421 -0.00782347
-0.011202 0.000187329 0.000829881 0.00119383 -0.0128865 0.0012189 -0.0122904 -0.00373748
-0.00327066 0.0132488 -0.0140302 -0.0103479 -0.0203297 -0.00893181 -0.00792158 -0.00659063
-0.00562028 -0.060375 -0.0148689 -0.00371038 -0.0152191 -0.0176697 -0.0226201 -0.00440467
0.0193211 0.0451585 0.0107051 0.0203088 0.0186661 -0.00147755 0.0115111 0.000543537
