# Open-loop AC Monte Carlo simulation mismatch-only GBW
# N B M BN BM NN NV MV
1.02567E+07 1.02428E+07 9.77427E+06 1.02356E+07 1.00163E+07 2.19477E+07 2.1517E+07 2.21445E+07
9.89258E+06 9.97714E+06 1.02419E+07 1.00265E+07 9.69816E+06 2.14928E+07 2.23806E+07 2.17265E+07
9.68903E+06 1.00922E+07 1.0048E+07 9.79445E+06 1.0485E+07 2.14365E+07 2.29155E+07 2.1815E+07
9.56476E+06 1.00428E+07 1.00555E+07 9.57464E+06 9.90465E+06 2.24369E+07 2.23713E+07 2.17638E+07
1.00799E+07 1.0007E+07 9.86682E+06 9.73854E+06 9.84146E+06 2.08408E+07 2.20189E+07 2.18001E+07
9.54006E+06 1.01978E+07 1.01259E+07 1.02646E+07 9.93606E+06 2.16028E+07 2.31792E+07 2.16072E+07
9.5637E+06 1.00406E+07 9.78148E+06 1.02966E+07 1.03466E+07 2.18944E+07 2.26179E+07 2.13766E+07
1.02012E+07 1.03088E+07 9.72286E+06 9.33419E+06 1.00976E+07 2.13563E+07 2.22997E+07 2.2199E+07
9.98036E+06 1.00604E+07 9.51243E+06 1.0039E+07 9.49598E+06 2.29771E+07 2.15807E+07 2.19134E+07
9.80277E+06 1.03611E+07 9.78967E+06 9.8928E+06 1.0051E+07 2.16752E+07 2.20327E+07 2.20402E+07
1.00167E+07 9.90753E+06 1.04034E+07 9.97921E+06 9.51388E+06 2.22906E+07 2.26458E+07 2.22374E+07
1.01174E+07 9.54605E+06 1.00788E+07 9.9682E+06 9.739E+06 2.26747E+07 2.25163E+07 2.21975E+07
9.38363E+06 9.7706E+06 9.86128E+06 1.04545E+07 9.6939E+06 2.15983E+07 2.24163E+07 2.19254E+07
1.03121E+07 9.68678E+06 1.03072E+07 9.96544E+06 1.00035E+07 2.21328E+07 2.2684E+07 2.26981E+07
1.00157E+07 1.07038E+07 1.05873E+07 9.56882E+06 1.02967E+07 2.16875E+07 2.32133E+07 2.20244E+07
1.00249E+07 1.00263E+07 9.67699E+06 9.78554E+06 1.02633E+07 2.11878E+07 2.26736E+07 2.16888E+07
