# Open-loop AC Monte Carlo simulation mismatch-only input voltage offset
# N B M BN BM NN NV MV
0.00148175 0.00440294 -0.000933464 0.000970743 -0.00177797 0.0017296 -0.00160531 0.000885517
0.000249203 0.00230333 -0.000192994 -0.00227169 -0.00648042 0.00179758 0.00900051 -0.00470621
-0.00549992 0.000190166 0.000589217 0.00196874 -0.00579 0.00331728 -0.00589629 -0.00653389
0.00273417 0.00270246 -0.00238162 -0.00342691 -0.000479248 -0.00159037 0.0059145 0.00292382
0.00310482 -0.00397951 0.000648478 0.00275987 0.00130731 0.00443826 0.00160791 -0.00771613
0.00180001 -0.00199939 -0.000686679 -0.00194263 0.000216151 -0.00362686 -0.0067678 -0.000816673
0.000505682 2.34199E-05 0.00152071 0.0039464 -0.00463459 -0.00280635 -0.00379028 -0.000908288
-0.00176684 0.00530354 -0.00157116 -0.00375849 0.00392948 -0.000343134 -0.00303904 -0.00311799
-0.00445117 -0.00714347 0.00394397 -0.00228051 0.0031224 0.00195612 0.00606222 -0.00139901
0.000184022 -0.00460486 0.00177268 -0.0039457 -0.0007567 -0.00250633 0.00380767 0.000751201
0.00340842 -0.00320529 -0.00325831 0.00486183 -0.000394123 -0.00404786 0.00147493 0.00182386
-0.00246064 2.03143E-05 0.00050922 0.00304023 -0.000343192 0.00380502 -0.00530055 -0.00265999
0.0012286 0.0026783 -0.00137968 0.00215002 0.00224297 0.000951726 -0.00194381 0.00321803
-0.00170228 -0.00338569 -0.00157844 0.000624985 -0.002591 -0.00430141 -0.00310746 0.000638876
0.00419706 0.0027171 -0.000523957 -0.00660608 0.00333806 0.000715686 -0.0024163 -0.000441714
-0.00443617 0.00488831 -0.0039674 -0.00171553 -0.00341816 -0.00246228 -0.000356475 0.00271536
0.00125837 0.00272207 0.00564189 -0.00719917 -0.00325501 -0.000924119 -0.000748435 0.00888382
-0.00328546 -0.00172801 -0.00381645 0.00698177 0.00797418 0.00314759 0.00183059 0.00656308
3.82184E-05 0.00337213 0.00196848 -0.00372294 0.00605524 0.00580848 -0.00122405 0.0055622
-0.00262699 0.00469964 -0.00128168 -0.00484323 -0.00358703 -0.00477798 0.00155031 -0.00911318
0.00292487 -0.000120583 -0.0086728 -0.00888638 0.00465349 0.00171988 0.00152276 0.00271149
0.000393292 0.000765177 -0.00132511 -0.00320859 0.00847409 -0.00270348 0.00108653 -0.00256613
0.00413126 -0.000165665 -0.00152631 0.00103883 -0.000898355 0.00198493 0.0051146 -0.00291138
0.000944998 0.00110764 -0.0026695 -0.00508679 -0.00277111 -0.00189205 0.0010457 -0.00128108
0.0013452 -0.0016181 0.00207409 0.00653673 -0.000344841 0.00190839 0.00827548 0.00233719
0.00164511 0.00161945 -0.00284186 -0.000479874 0.00365707 -0.000488223 -0.00377411 -0.00106224
0.0062696 0.00594955 -0.00653575 0.00449367 0.0045734 -0.00218992 0.000418438 -0.000585121
0.00298271 -0.00284958 0.00037322 -0.0026917 -0.00174597 0.000928598 -0.000608921 0.000107843
0.00167176 0.00174042 -0.00235272 0.000151219 0.00427485 -0.00338381 -0.00627559 0.000880969
-0.00124849 -0.00400008 -0.00211488 -0.00378531 0.00277454 -0.00585276 -0.00127282 -0.0050288
0.0032823 -0.0017483 -0.00254104 0.00205552 0.00341524 -0.000878177 -0.000995395 -0.00088476
-0.000422037 0.000720059 0.00381652 0.0011093 0.00232163 -0.00130276 -0.00367916 -0.0019248
-0.00029679 -0.00180185 0.000887958 -0.00475101 -0.00204424 -0.00235442 -0.000178534 -0.000309563
0.000840529 -0.000654514 0.0031697 -0.00391618 -6.88491E-05 -0.000598243 0.00688747 0.0019144
-0.000979378 -0.00632184 0.0010192 -0.00384886 -0.00502182 -0.00490058 0.00365424 -0.00377955
-0.00326595 -0.000720722 0.000820758 -0.00110964 0.00275077 0.00034576 -0.00355561 -0.00195002
-0.00284929 -0.00134887 -0.00291675 -0.00142899 0.00222449 -0.00414363 -0.00158998 0.00286549
-0.00196518 0.00187508 -0.00140577 -0.00164963 0.000493481 -0.00223821 0.00467007 0.000333545
-0.00158776 -0.00575511 -0.00129999 0.00314395 0.00391171 0.000149944 0.000296731 -0.00334002
-0.0072268 -0.00174274 0.00508962 0.00632805 0.000649889 -0.000978924 -0.00433619 -0.000483636
-0.00412566 0.00792255 -8.68832E-05 0.000645172 0.000439434 -0.00287092 -0.00114728 0.000857761
0.00221329 0.00106261 0.00449472 0.00289178 0.000682544 -0.00064418 -0.000590482 0.00241616
0.00283178 0.00397851 -0.000444674 -0.00143622 0.000380893 0.00029609 0.000194754 -0.0028631
-0.00234659 0.00181385 -0.00225208 -0.00328906 -0.00173373 -0.00140629 0.00720423 0.00305913
0.000915608 -0.00098248 -0.00108522 0.00459399 0.00153302 -0.00218651 -0.0036364 -0.00043683
-0.00316032 -0.00223798 0.000219316 -0.00739324 0.00141593 -0.000207812 0.00198077 -0.00336723
0.00237861 -0.00132144 0.000990217 0.000460477 0.0038426 0.000390586 0.00259961 -1.27461E-05
-0.00246191 0.0010217 -0.000269195 0.000328435 -0.000595291 -0.00258659 0.000175519 -0.00154004
0.00256931 -0.00708685 -0.00286575 -0.00563963 0.00110972 -0.00185407 0.00216004 0.00208528
-0.00679596 0.00143887 -0.00129883 0.000474401 -0.00144193 -0.00320425 0.00674957 0.00055794
-0.00350248 0.000701798 0.00433431 0.00575768 -0.00105072 0.00264471 -0.00349289 0.000932564
-0.0030181 -0.00130314 0.000635949 -0.00407672 -0.00233842 -0.00199823 -0.00162216 0.000672643
-0.000763706 -0.00614614 -0.00468683 0.00199496 -0.00247758 0.00255543 0.000199515 0.00424597
0.000619279 -0.000979673 0.00172673 0.00173853 -0.00184775 0.00523824 0.00396447 0.00447578
-0.0040294 0.00231405 -0.000358045 -0.00338668 -0.00155165 -0.00305647 0.00453169 0.0030765
0.000403398 0.00183166 -0.00249624 0.00149398 -0.00288007 0.00337439 0.000633128 0.00160863
0.00163546 -0.000343769 -0.00284788 -0.00214277 -0.00023335 -5.22161E-05 -0.00763874 -0.00327966
7.67779E-05 0.00514623 -0.00790213 -0.00402231 -0.00323063 0.00615519 -0.0078661 -0.00224112
-0.00623403 -0.00265013 -0.00225934 -0.00600617 -0.00664676 0.00329383 0.00176449 0.000386152
-0.000545805 0.00476222 -0.00161652 -0.00123868 -0.000554351 0.00205379 -0.000449387 -0.00145883
-0.00254296 0.000208336 0.00135064 -0.00295711 -0.0011091 0.00361657 -0.00478881 0.00587855
-0.000828346 -0.00281022 -0.00111731 0.00420482 0.00234648 0.000523409 0.00252398 0.00681343
0.00130732 0.00624556 -0.00131124 0.00504071 -0.00299707 -0.00415698 -0.000765826 0.00283316
-0.00178413 0.00165137 0.000265355 0.00326369 -0.00182348 -0.00304089 0.00140935 0.0041615
0.00101323 -0.00230377 0.00192851 -0.00103672 0.0041878 -0.00447887 -0.00203715 -0.005487
0.00119687 0.00183627 -0.00184316 0.00181818 -0.00475773 -0.00142654 0.000738945 0.000774624
0.00553798 0.00269759 -0.00613133 -0.000537614 0.00331369 0.00280954 -0.00257931 -0.000258342
0.00222543 -0.0028703 0.00206572 -0.00113996 0.00487725 0.000436119 0.00125968 -0.0015573
0.00541121 0.00222465 0.000915688 0.000399132 -0.000438639 0.00554606 -0.00116175 0.00601012
