# Open-loop AC Monte Carlo simulation mismatch-only phase margin
# N B M BN BM NN NV MV
90.6758 90.809 90.752 91.3568 90.7668 61.0109 61.2473 61.1344
90.9262 90.8107 90.7802 91.1555 90.743 61.0017 61.3751 61.1162
90.859 90.8434 90.7702 91.2788 90.7998 60.9097 61.5357 61.0752
90.7435 90.7668 90.7681 91.2601 90.7605 60.9721 61.4049 60.8461
90.919 90.7593 90.7525 91.1525 90.7491 60.6434 61.2729 61.0807
90.5501 90.7982 90.7755 91.1994 90.7583 60.8814 61.3051 61.1678
90.7571 90.7702 90.7462 91.1297 90.7967 60.9448 61.2798 60.9851
90.6003 90.8063 90.7395 91.2304 90.7681 60.8428 61.5046 61.0191
90.8097 90.7678 90.7271 91.3288 90.7211 60.9714 61.4255 61.0926
90.727 90.7935 90.7464 91.2328 90.766 60.992 61.1877 61.0721
90.7511 90.7531 90.7956 91.4563 90.7239 60.725 61.2519 61.0084
90.8167 90.7478 90.7655 91.3106 90.7471 61.1918 61.4919 61.1118
90.7316 90.7349 90.7509 91.2504 90.7375 60.9535 61.2981 61.0437
90.7064 90.7391 90.7857 91.2026 90.764 60.8333 61.5258 61.1288
90.7647 90.8462 90.8083 91.1914 90.7855 61.023 61.4708 60.9969
90.6723 90.7685 90.7297 91.3369 90.7923 60.9325 61.3726 61.1025
90.5965 90.7659 90.7272 90.9619 90.7466 61.1008 61.2766 60.8137
90.7746 90.7433 90.7362 91.2839 90.7507 60.8549 61.3556 61.085
90.6335 90.8727 90.7823 91.2435 90.7688 60.75 61.1878 61.0935
90.8524 90.7489 90.7749 91.0761 90.7675 60.7987 61.322 61.1694
90.7978 90.7697 90.7656 91.2688 90.7266 60.9962 61.5422 60.9321
90.8023 90.7944 90.7612 91.2285 90.7525 60.9583 61.4091 61.1818
90.8989 90.7851 90.7719 91.2059 90.7214 60.9002 61.2904 61.067
90.8174 90.7744 90.7755 91.1992 90.7415 60.9604 61.2506 61.0936
90.8266 90.7447 90.7407 90.9901 90.7555 60.7603 61.555 61.1916
90.6547 90.8192 90.7881 90.8758 90.7481 60.8742 61.4212 61.2061
90.6545 90.7627 90.737 91.1507 90.7363 60.8269 61.4382 61.1648
90.6989 90.7717 90.7645 91.0758 90.7761 60.9944 61.4474 61.0298
90.6008 90.7952 90.7364 91.3543 90.746 60.9516 61.2547 60.8987
90.8042 90.8031 90.7785 91.2273 90.7672 61.1698 61.3428 61.0807
90.5961 90.77 90.7433 91.0745 90.7148 60.8656 61.4863 61.0492
90.7387 90.7961 90.7549 91.2884 90.7397 60.748 61.3841 61.0494
90.6969 90.7636 90.7419 91.0592 90.7684 60.8621 61.2258 60.9685
90.7513 90.7992 90.7628 91.1052 90.7438 60.9941 61.2374 60.9904
90.8006 90.8139 90.8078 91.2315 90.7861 61.0682 61.3155 61.0064
90.5369 90.8132 90.8022 91.3322 90.7631 60.7914 61.4094 61.0126
90.8653 90.7666 90.7171 91.218 90.743 60.9154 61.4307 61.1515
90.6871 90.7908 90.7264 91.3857 90.7498 60.9985 61.4963 60.9523
90.6568 90.8076 90.7328 91.0967 90.7855 61.0634 61.2718 61.0528
90.6546 90.8921 90.797 91.161 90.7511 60.8293 61.2773 60.991
90.656 90.814 90.7343 91.2582 90.7301 60.7581 61.2549 61.1828
90.8345 90.7426 90.7616 91.3644 90.7493 60.7957 61.2304 61.0986
90.9241 90.807 90.7604 91.213 90.7292 60.8259 61.2561 60.9797
90.8673 90.7778 90.7647 91.2485 90.7602 61.1302 61.0831 60.9542
90.6949 90.7786 90.7351 91.1269 90.7547 61.0004 61.3228 61.15
90.656 90.8104 90.7767 91.1167 90.7409 60.8642 61.5415 61.0072
90.7788 90.769 90.7833 91.1512 90.7529 60.9459 61.4279 61.1294
90.6596 90.7771 90.763 91.0798 90.7856 60.8238 61.3344 60.9727
90.841 90.7671 90.7607 91.0408 90.7524 60.89 61.3467 61.0728
90.783 90.7702 90.7745 91.1424 90.7321 60.9555 61.3241 60.9779
90.7058 90.8601 90.7459 91.1199 90.7426 60.6749 61.2794 61.1582
90.7589 90.8254 90.7782 91.0233 90.7203 60.7859 61.4266 61.1182
90.6413 90.8168 90.778 91.3292 90.7115 61.063 61.443 61.0937
90.6963 90.745 90.7531 91.2139 90.7274 60.7453 61.3708 60.8693
90.7591 90.7762 90.7509 91.3017 90.768 61.0096 61.3353 61.0915
90.7063 91.0442 90.7521 91.2478 90.7915 60.8467 61.2243 61.1033
90.9685 90.7611 90.7662 91.1804 90.7495 60.7969 61.6181 61.0842
90.7447 90.7894 90.7516 91.2112 90.7484 60.9964 61.3096 61.0188
90.4025 90.7406 90.7443 91.1463 90.7954 60.9409 61.1701 61.1612
90.7445 90.7935 90.7668 91.1155 90.7366 61.061 61.3184 60.975
90.8103 90.7475 90.7483 91.1699 90.7637 60.8541 61.3178 61.0877
