# Open-loop AC Monte Carlo simulation mismatch-only regulated supply voltage
# N B M BN BM NN NV MV
2.43426 2.41979 2.37271 2.4371 2.40253 2.40512 2.37604 2.40151
2.38555 2.39036 2.43295 2.40538 2.37021 2.36691 2.41999 2.37486
2.36578 2.3951 2.40109 2.38442 2.46413 2.36848 2.43655 2.37237
2.34431 2.39396 2.40204 2.35162 2.38567 2.43098 2.41248 2.37897
2.41296 2.38782 2.37421 2.3746 2.38007 2.33077 2.39831 2.37178
2.34168 2.41039 2.41094 2.43746 2.39628 2.38798 2.47806 2.37487
2.34163 2.39347 2.36603 2.44541 2.43532 2.40392 2.42586 2.35882
2.41139 2.42305 2.36381 2.32492 2.41426 2.36414 2.42147 2.40093
2.39457 2.40235 2.34264 2.41995 2.34466 2.47093 2.37032 2.38509
2.37743 2.45277 2.37905 2.38765 2.40552 2.38977 2.39922 2.40639
2.40095 2.37923 2.4456 2.40504 2.3426 2.42573 2.42658 2.39503
2.42483 2.34755 2.41521 2.40525 2.35974 2.4494 2.42156 2.40547
2.34815 2.37018 2.38384 2.46177 2.35356 2.38803 2.41393 2.3872
2.44045 2.35508 2.44693 2.41734 2.40372 2.41299 2.43406 2.43577
2.3998 2.48776 2.46963 2.35402 2.44371 2.3889 2.46928 2.38816
2.40372 2.40359 2.37083 2.39681 2.41859 2.35816 2.43684 2.37116
2.34991 2.39834 2.34091 2.3498 2.39119 2.40026 2.38269 2.35617
2.39649 2.36337 2.36318 2.46704 2.40278 2.38565 2.41125 2.4923
2.40308 2.43705 2.44557 2.47482 2.38237 2.36961 2.40999 2.38268
2.45579 2.30287 2.42137 2.36973 2.39843 2.36945 2.4077 2.38521
2.38555 2.33281 2.39826 2.37471 2.34973 2.39224 2.44462 2.36835
2.37038 2.44162 2.40249 2.42453 2.3787 2.36707 2.3518 2.34279
2.38972 2.37546 2.41706 2.33982 2.32165 2.3983 2.38808 2.40164
2.38569 2.39114 2.42839 2.38388 2.38943 2.41517 2.41148 2.42418
2.34569 2.35559 2.36261 2.32972 2.3815 2.36744 2.39236 2.41855
2.43202 2.41364 2.44228 2.37472 2.38441 2.36748 2.36597 2.38691
2.39699 2.3986 2.34833 2.44472 2.36382 2.36867 2.38871 2.38931
2.4053 2.38654 2.39684 2.4134 2.42649 2.43269 2.40055 2.41748
2.3699 2.43058 2.35574 2.35661 2.39302 2.45897 2.352 2.41466
2.39495 2.43561 2.42613 2.37372 2.43517 2.37213 2.40735 2.39667
2.36891 2.36472 2.37849 2.38171 2.33936 2.40184 2.38904 2.39506
2.41334 2.41626 2.38073 2.40645 2.37082 2.37628 2.32698 2.39987
2.38939 2.38571 2.36241 2.4059 2.39226 2.40341 2.36898 2.3531
2.42298 2.35076 2.41276 2.3568 2.36344 2.46157 2.45724 2.38862
2.41553 2.41881 2.46741 2.42121 2.44024 2.3927 2.37752 2.39287
2.39506 2.38835 2.4629 2.4327 2.38867 2.39966 2.36822 2.35243
2.4133 2.3628 2.34245 2.40061 2.37314 2.43404 2.39447 2.39376
2.37494 2.42367 2.35128 2.47041 2.35981 2.34462 2.4106 2.45194
2.40864 2.43464 2.36055 2.44721 2.43107 2.45 2.43095 2.38817
2.40967 2.42834 2.44826 2.34557 2.37722 2.40115 2.39761 2.32968
2.37628 2.40444 2.34887 2.38914 2.34807 2.40058 2.38562 2.41524
2.42333 2.36364 2.39328 2.41545 2.38942 2.35007 2.35726 2.34047
2.44238 2.39262 2.38765 2.38706 2.34354 2.34489 2.40025 2.44944
2.37596 2.35362 2.38242 2.3829 2.38808 2.38627 2.33268 2.38003
2.40713 2.38454 2.36069 2.38882 2.3871 2.41518 2.39214 2.42024
2.37946 2.37969 2.42009 2.37083 2.35396 2.41494 2.39944 2.43001
2.41563 2.40565 2.43941 2.42001 2.38934 2.40842 2.39192 2.38831
2.39763 2.3802 2.40041 2.37442 2.43309 2.3969 2.40191 2.37301
2.41432 2.33616 2.38626 2.4031 2.38756 2.35899 2.42335 2.39511
2.37997 2.40915 2.41744 2.41382 2.36015 2.34816 2.30934 2.34051
2.39596 2.39835 2.36436 2.38898 2.36652 2.41231 2.38761 2.40593
2.39873 2.3963 2.42632 2.37059 2.33775 2.38311 2.42689 2.3984
2.39728 2.4154 2.43047 2.36978 2.32428 2.36631 2.3744 2.37068
2.39859 2.37661 2.38093 2.35429 2.33319 2.38368 2.38356 2.39621
2.43513 2.38817 2.36656 2.41309 2.41885 2.36359 2.34625 2.36817
2.38416 2.40474 2.36592 2.39291 2.43181 2.34057 2.40939 2.33714
2.4185 2.34796 2.4043 2.3579 2.38573 2.34545 2.37138 2.36008
2.42067 2.43131 2.3777 2.4406 2.37431 2.39595 2.43622 2.35252
2.37117 2.3405 2.38022 2.40325 2.43906 2.41115 2.38518 2.4365
2.38849 2.43497 2.39763 2.34758 2.36984 2.39211 2.3585 2.40104
2.34422 2.35824 2.3634 2.50964 2.37653 2.35205 2.40151 2.44019
2.40005 2.40008 2.34299 2.38291 2.39742 2.42572 2.36777 2.32456
2.37091 2.42345 2.35491 2.42334 2.38939 2.31942 2.44302 2.41427
2.37826 2.3774 2.42237 2.41543 2.35257 2.43007 2.36594 2.47169
2.43176 2.38883 2.38101 2.38342 2.43072 2.36461 2.4207 2.39537
2.35426 2.31832 2.39873 2.36906 2.41863 2.38332 2.36342 2.36214
2.37081 2.38574 2.39393 2.35726 2.39477 2.41469 2.42878 2.3512
2.3648 2.35886 2.38244 2.35396 2.3582 2.43159 2.39258 2.43857
2.40422 2.33589 2.3285 2.43709 2.386 2.4105 2.37026 2.39632
2.42869 2.349 2.41522 2.40267 2.30177 2.37035 2.37758 2.34233
2.34557 2.34797 2.43895 2.3771 2.36136 2.43356 2.38206 2.3933
2.34973 2.32713 2.34944 2.39972 2.39311 2.36228 2.37456 2.37752
2.41012 2.40761 2.36392 2.393 2.43925 2.3959 2.3613 2.45818
2.40294 2.31599 2.43708 2.40207 2.40225 2.33124 2.39192 2.39264
2.43017 2.42413 2.41117 2.31975 2.39815 2.36381 2.43187 2.40069
2.43648 2.37349 2.42457 2.36938 2.40304 2.37818 2.32789 2.42925
2.37075 2.45946 2.39802 2.39895 2.37304 2.37594 2.39149 2.42136
2.3843 2.35855 2.42874 2.4279 2.41774 2.37787 2.39161 2.35886
2.38205 2.37441 2.34886 2.37768 2.41728 2.3693 2.38839 2.41945
2.36095 2.36219 2.36215 2.36325 2.35397 2.43662 2.32442 2.42038
2.39288 2.39408 2.4177 2.4234 2.36252 2.3987 2.35798 2.41456
2.37685 2.32896 2.40507 2.42164 2.44027 2.45635 2.43364 2.43041
2.39693 2.33378 2.38727 2.33279 2.35169 2.41863 2.38726 2.30972
2.37934 2.41992 2.38922 2.37548 2.36143 2.42771 2.34045 2.41604
2.36203 2.3474 2.34263 2.41435 2.40525 2.38311 2.40075 2.41902
2.41237 2.36827 2.37849 2.40594 2.34945 2.39143 2.4106 2.35505
2.39077 2.36306 2.36777 2.35975 2.41421 2.28869 2.38215 2.38433
2.34676 2.37506 2.42168 2.39133 2.37786 2.45574 2.38288 2.41048
2.40209 2.40701 2.36619 2.38799 2.37121 2.3357 2.4212 2.39755
2.37113 2.3593 2.37597 2.39724 2.43386 2.33082 2.38222 2.38276
2.45374 2.29239 2.40408 2.36917 2.36637 2.41313 2.38999 2.35664
2.38701 2.35733 2.37029 2.3405 2.42377 2.41641 2.36231 2.38953
2.36824 2.45197 2.40143 2.39073 2.36984 2.41523 2.35968 2.3791
2.33251 2.39099 2.38927 2.41854 2.41359 2.363 2.37209 2.39079
2.37542 2.34407 2.40617 2.38634 2.37545 2.39651 2.36923 2.40998
2.36074 2.49585 2.38875 2.32735 2.42356 2.38877 2.42603 2.39743
2.37623 2.40415 2.4239 2.40681 2.34616 2.41859 2.40364 2.42318
2.42945 2.40038 2.39374 2.36247 2.42684 2.33144 2.3931 2.3606
2.40685 2.40909 2.34287 2.43674 2.3465 2.41096 2.39475 2.40817
2.35664 2.3687 2.39494 2.41275 2.40334 2.43657 2.39496 2.4317
