# Open-loop AC Monte Carlo simulation mismatch-only voltage gain
# N B M BN BM NN NV MV
36.3068 36.3068 36.3068 32.7851 36.3068 69.1888 69.2535 72.6688
36.3699 36.3699 36.3699 32.8482 36.3699 69.3128 69.377 72.7902
36.4014 36.4014 36.4014 32.8797 36.4014 69.3714 69.4353 72.844
36.5727 36.5727 36.5727 33.051 36.5727 69.7096 69.7723 73.1802
36.3586 36.3586 36.3586 32.8369 36.3586 69.2916 69.3555 72.7706
36.2584 36.2584 36.2584 32.7367 36.2584 69.0917 69.1567 72.5696
36.0048 36.0092 36.0113 32.4916 36.0153 68.6394 68.7062 72.1282
36.5542 36.5542 36.5542 33.0324 36.5542 69.6742 69.737 73.1464
36.2817 36.2817 36.2817 32.76 36.2817 69.1392 69.2041 72.6187
36.2684 36.2684 36.2684 32.7467 36.2684 69.1097 69.1747 72.5854
36.4489 36.4489 36.4489 32.9272 36.4489 69.4664 69.53 72.9401
36.2253 36.2253 36.2253 32.7036 36.2253 69.0293 69.0946 72.5112
36.2906 36.2906 36.2906 32.7689 36.2906 69.1557 69.2205 72.6336
36.5368 36.5368 37.1155 33.0151 36.5368 69.639 69.702 73.1106
36.0093 36.0106 36.0112 32.4901 36.0125 68.6172 68.6842 72.1023
36.4189 36.4189 36.4189 32.8972 36.4189 69.4044 69.4682 72.8753
36.4831 36.4832 36.4832 32.9615 36.4832 69.536 69.5994 73.0111
36.3413 36.3413 36.3413 32.8196 36.3413 69.2565 88.6789 72.7342
36.5239 36.5239 36.5239 33.0022 36.5239 69.6159 69.679 73.0903
36.2563 36.2563 36.2563 32.7346 36.2563 69.0918 69.1569 72.5748
36.0872 36.089 36.0898 32.569 36.0916 68.7755 68.8418 72.2591
35.9238 35.925 35.9256 32.4045 35.9268 68.4461 68.5136 71.9302
36.1354 36.1354 36.1354 32.6137 36.1354 68.8483 68.9143 72.3271
36.2455 36.2455 36.2455 32.7237 36.2455 69.0689 69.134 72.5503
35.9528 35.9537 35.9541 32.4329 35.955 68.5023 68.5697 71.9888
36.006 36.006 36.006 32.4843 36.006 68.5952 68.6622 72.0784
36.0812 36.0812 36.0812 32.5595 36.0812 51.374 68.8107 72.2274
36.0875 36.0875 36.0875 32.5658 36.0875 68.759 68.8253 72.2446
36.3727 36.3727 36.3727 32.851 36.3727 69.3181 69.3823 72.7954
36.3163 36.3163 36.3163 32.7946 36.3163 69.2041 69.2687 72.6789
36.6501 36.6501 36.6501 33.1284 36.6501 69.8618 69.9239 73.3306
36.2939 36.2939 36.2939 32.7721 36.2939 69.1618 69.2265 72.6392
36.1023 36.1023 36.1023 32.5806 36.1023 68.7858 68.8517 72.2685
36.041 36.041 36.041 32.5193 36.041 68.6649 68.7316 72.1484
36.3584 36.3584 36.3584 32.8367 36.3584 69.2856 69.3498 72.7579
36.2444 36.2444 36.2444 32.7226 36.2444 69.0631 69.1283 72.5402
35.872 35.872 35.872 32.3502 35.872 68.3345 68.4026 71.8241
36.4945 36.4946 36.4945 32.9728 36.4945 69.5565 69.6198 73.0296
36.1372 36.1372 36.1372 32.6155 36.1372 68.8499 68.9158 72.3261
36.5066 36.5066 36.5066 32.9848 36.5066 69.5834 69.6467 73.0603
35.9113 35.9113 35.9113 32.3896 35.9114 68.4091 68.4768 71.8943
