# Open-loop AC Monte Carlo simulation mismatch-only output common-voltage
# N B M BN BM NN NV MV
-0.0015854 -0.00158547 -0.00158549 -0.00158551 -0.00158552 -0.00158556 -0.00158556 -0.00158557
-0.00387075 -0.00387177 -0.00387227 -0.00387277 -0.00387326 -0.00387666 -0.00387666 -0.00387714
-0.00407802 -0.00407964 -0.00408044 -0.00408123 -0.00408202 -0.00408752 -0.00408752 -0.0040883
-0.00145755 -0.00145762 -0.00145764 -0.00145766 -0.00145767 -0.00145772 -0.00145772 -0.00145772
-0.00297625 -0.00297639 -0.00297644 -0.00297649 -0.00297653 -0.0029768 -0.0029768 -0.00297684
-0.0025399 -0.00254 -0.00254003 -0.00254005 -0.00254008 -0.00254018 -0.00254018 -0.00254019
-0.0101742 -0.010673 -0.0109091 -0.0111367 -0.0113564 -0.0127042 -0.0127042 -0.0128738
-0.00316401 -0.00316424 -0.00316434 -0.00316443 -0.00316452 -0.00316508 -0.00316508 -0.00316516
-0.00186734 -0.00186741 -0.00186744 -0.00186746 -0.00186747 -0.00186752 -0.00186752 -0.00186753
-0.00346706 -0.00346739 -0.00346754 -0.00346769 -0.00346783 -0.00346879 -0.00346879 -0.00346893
-0.00179462 -0.0017947 -0.00179473 -0.00179475 -0.00179476 -0.00179481 -0.00179481 -0.00179482
-0.00206972 -0.00206979 -0.00206982 -0.00206983 -0.00206985 -0.0020699 -0.0020699 -0.0020699
-0.00379911 -0.0038 -0.00380044 -0.00380087 -0.0038013 -0.00380424 -0.00380424 -0.00380466
-0.0005165 -0.000516527 -0.000516534 -0.00051654 -0.000516544 -0.000516558 -0.000516558 -0.000516558
-0.007502 -0.0076422 -0.00771207 -0.00778176 -0.00785123 -0.00832967 -0.00832967 -0.00839669
-0.00338102 -0.00338132 -0.00338145 -0.00338157 -0.00338169 -0.00338245 -0.00338245 -0.00338256
-0.00461202 -0.00461922 -0.00462281 -0.0046264 -0.00462998 -0.00465499 -0.00465499 -0.00465855
-0.00221942 -0.00221951 -0.00221954 -0.00221956 -0.00221958 -0.00221965 -0.00221965 -0.00221965
-0.00289514 -0.00289529 -0.00289534 -0.0028954 -0.00289544 -0.00289571 -0.00289571 -0.00289575
-0.00447535 -0.00447784 -0.00447908 -0.00448031 -0.00448154 -0.00449013 -0.00449013 -0.00449135
-0.00779027 -0.00797505 -0.00806654 -0.00815738 -0.00824751 -0.00885658 -0.00885658 -0.00894027
-0.00758992 -0.00772972 -0.00779952 -0.0078692 -0.00793874 -0.00841975 -0.00841975 -0.00848741
-0.00391825 -0.00391904 -0.00391942 -0.0039198 -0.00392018 -0.00392278 -0.00392278 -0.00392315
-0.00306816 -0.00306831 -0.00306837 -0.00306841 -0.00306846 -0.00306872 -0.00306872 -0.00306875
-0.00685517 -0.00695633 -0.00700701 -0.00705775 -0.00710853 -0.00746452 -0.00746452 -0.00751534
-0.00363626 -0.0036366 -0.00363675 -0.0036369 -0.00363704 -0.00363796 -0.00363796 -0.00363809
-0.00330808 -0.00330828 -0.00330836 -0.00330844 -0.00330852 -0.00330899 -0.00330899 -0.00330906
-0.00412708 -0.00412814 -0.00412866 -0.00412918 -0.00412969 -0.00413324 -0.00413324 -0.00413374
-0.00144865 -0.00144872 -0.00144874 -0.00144876 -0.00144877 -0.00144881 -0.00144881 -0.00144881
-0.00335224 -0.00335249 -0.0033526 -0.0033527 -0.0033528 -0.00335346 -0.00335346 -0.00335355
-0.00266277 -0.00266288 -0.00266292 -0.00266296 -0.00266299 -0.00266314 -0.00266314 -0.00266316
-0.00380551 -0.00380618 -0.0038065 -0.00380681 -0.00380712 -0.00380927 -0.00380927 -0.00380958
-0.00251583 -0.00251592 -0.00251595 -0.00251597 -0.00251599 -0.00251609 -0.00251609 -0.0025161
-0.00385486 -0.00385532 -0.00385553 -0.00385574 -0.00385595 -0.00385737 -0.00385737 -0.00385757
-0.00204555 -0.00204563 -0.00204566 -0.00204568 -0.0020457 -0.00204576 -0.00204576 -0.00204576
-0.00320569 -0.00320586 -0.00320593 -0.00320599 -0.00320605 -0.00320641 -0.00320641 -0.00320646
-0.0028475 -0.00284761 -0.00284764 -0.00284767 -0.0028477 -0.00284782 -0.00284782 -0.00284783
-0.00152865 -0.00152872 -0.00152874 -0.00152876 -0.00152877 -0.00152882 -0.00152882 -0.00152882
-0.00381756 -0.00381828 -0.00381863 -0.00381897 -0.00381931 -0.00382164 -0.00382164 -0.00382197
-0.00300516 -0.00300534 -0.00300542 -0.00300549 -0.00300555 -0.00300598 -0.00300598 -0.00300604
-0.00473805 -0.00474052 -0.00474175 -0.00474298 -0.00474421 -0.0047528 -0.0047528 -0.00475402
-0.00266007 -0.00266018 -0.00266022 -0.00266025 -0.00266028 -0.00266042 -0.00266042 -0.00266043
-0.00180224 -0.00180232 -0.00180235 -0.00180237 -0.00180239 -0.00180244 -0.00180244 -0.00180245
-0.00441076 -0.0044149 -0.00441695 -0.004419 -0.00442105 -0.0044353 -0.0044353 -0.00443733
-0.00659114 -0.0066805 -0.00672529 -0.00677014 -0.00681504 -0.00713054 -0.00713054 -0.00717572
-0.00330427 -0.00330446 -0.00330454 -0.00330462 -0.00330469 -0.00330516 -0.00330516 -0.00330522
-0.0035368 -0.00353722 -0.00353742 -0.00353761 -0.00353781 -0.0035391 -0.0035391 -0.00353929
