# Open-loop AC Monte Carlo simulation mismatch-only GBW
# N B M BN BM NN NV MV
1.00648E+07 1.01399E+07 1.00933E+07 1.00268E+07 1.00872E+07 2.21896E+07 2.29072E+07 2.24277E+07
9.79935E+06 9.87378E+06 9.82775E+06 9.76238E+06 9.82178E+06 2.1797E+07 2.19265E+07 2.20376E+07
9.74821E+06 9.82074E+06 9.77538E+06 9.712E+06 9.76948E+06 2.11928E+07 2.13193E+07 2.14189E+07
9.81475E+06 9.88671E+06 9.84192E+06 9.77783E+06 9.83594E+06 2.14949E+07 2.16208E+07 2.17223E+07
1.00148E+07 1.00919E+07 1.00443E+07 9.97716E+06 1.00382E+07 2.21862E+07 2.29068E+07 2.24321E+07
9.74054E+06 9.81368E+06 9.76803E+06 9.70421E+06 9.76219E+06 2.18763E+07 2.16259E+07 2.17318E+07
9.97712E+06 1.00522E+07 1.00062E+07 9.94137E+06 1.00009E+07 2.23441E+07 2.24766E+07 2.25912E+07
9.54113E+06 9.61155E+06 9.56763E+06 9.50581E+06 9.56179E+06 2.13931E+07 2.15164E+07 2.16244E+07
9.89865E+06 9.97099E+06 9.92601E+06 9.86154E+06 9.92003E+06 2.1951E+07 2.20803E+07 2.2188E+07
9.81062E+06 9.88538E+06 9.83919E+06 9.77342E+06 9.83321E+06 2.12626E+07 2.13928E+07 2.14947E+07
9.86571E+06 9.93829E+06 9.89319E+06 9.82864E+06 9.88721E+06 2.15762E+07 2.17038E+07 2.18059E+07
1.01347E+07 1.02096E+07 1.01632E+07 1.00967E+07 1.01571E+07 2.23801E+07 2.25142E+07 2.26244E+07
9.83291E+06 9.90751E+06 9.8614E+06 9.79566E+06 9.85542E+06 2.16623E+07 2.17926E+07 2.18996E+07
9.83325E+06 9.90589E+06 1.02321E+07 9.79635E+06 9.85478E+06 2.15239E+07 2.1651E+07 2.17531E+07
9.96388E+06 1.00387E+07 9.99228E+06 9.9269E+06 9.98652E+06 2.19405E+07 2.2074E+07 2.21821E+07
9.74723E+06 9.81876E+06 9.7739E+06 9.71098E+06 9.76802E+06 2.10255E+07 2.11513E+07 2.12472E+07
9.88132E+06 9.95494E+06 9.90932E+06 9.84412E+06 9.90335E+06 2.18587E+07 2.19885E+07 2.20973E+07
9.80301E+06 9.87654E+06 9.83096E+06 9.76602E+06 9.82499E+06 2.29046E+07 2.23857E+07 2.20303E+07
9.80083E+06 9.87528E+06 9.82924E+06 9.76392E+06 9.82326E+06 2.18102E+07 2.19392E+07 2.20504E+07
1.00876E+07 1.01626E+07 1.01161E+07 1.00494E+07 1.011E+07 2.26029E+07 2.27353E+07 2.28501E+07
1.0058E+07 1.01353E+07 1.00879E+07 1.00202E+07 1.00821E+07 2.19364E+07 2.20729E+07 2.21803E+07
1.00087E+07 1.00828E+07 1.0037E+07 9.97156E+06 1.00311E+07 2.1599E+07 2.17304E+07 2.18293E+07
