# Open-loop AC Monte Carlo simulation mismatch-only input voltage offset
# N B M BN BM NN NV MV
-6.66134E-16 -8.88178E-16 2.22045E-15 -1.77636E-15 0 1.33227E-15 -1.33227E-15 8.88178E-16
2.22045E-15 -2.44249E-15 0 4.44089E-16 -8.88178E-16 -1.33227E-15 1.33227E-15 0
0 -4.44089E-16 0 1.55431E-15 1.11022E-15 1.9984E-15 8.88178E-16 2.22045E-16
-1.55431E-15 1.55431E-15 0 -8.88178E-16 -1.11022E-15 -2.22045E-16 -4.44089E-16 1.77636E-15
-6.66134E-16 6.66134E-16 4.44089E-16 -2.22045E-16 4.44089E-16 -2.22045E-15 -8.88178E-16 4.44089E-16
-8.88178E-16 -2.22045E-16 1.9984E-15 1.33227E-15 4.44089E-16 -2.22045E-16 -8.88178E-16 6.66134E-16
1.11022E-15 6.66134E-16 -1.9984E-15 1.9984E-15 0 -2.22045E-16 -1.33227E-15 -8.88178E-16
-4.44089E-16 1.55431E-15 -6.66134E-16 6.66134E-16 4.44089E-16 8.88178E-16 8.88178E-16 -2.44249E-15
-2.22045E-15 -6.66134E-16 -8.88178E-16 -6.66134E-16 0 -1.77636E-15 -1.55431E-15 -6.66134E-16
-2.22045E-16 8.88178E-16 1.33227E-15 2.22045E-16 8.88178E-16 8.88178E-16 8.88178E-16 -6.66134E-16
4.44089E-16 4.44089E-16 3.55271E-15 1.33227E-15 0 -1.33227E-15 8.88178E-16 -4.44089E-16
-8.88178E-16 6.66134E-16 -2.22045E-16 -4.44089E-16 4.44089E-16 1.33227E-15 -2.66454E-15 -1.55431E-15
6.66134E-16 -4.44089E-16 1.11022E-15 -2.22045E-15 -4.44089E-16 -1.11022E-15 6.66134E-16 1.55431E-15
-1.33227E-15 6.66134E-16 -1.11022E-15 -6.66134E-16 0 0 3.77476E-15 2.22045E-15
0 4.44089E-16 6.66134E-16 0 4.44089E-16 -1.33227E-15 2.88658E-15 -4.44089E-16
-1.11022E-15 0 -3.10862E-15 -2.88658E-15 0 2.44249E-15 -2.22045E-16 2.66454E-15
-1.55431E-15 -6.66134E-16 -1.77636E-15 -8.88178E-16 1.11022E-15 -6.66134E-16 -3.33067E-15 -4.44089E-16
1.77636E-15 -4.44089E-16 -2.22045E-16 -2.22045E-16 0 1.33227E-15 5.10703E-15 2.22045E-16
0 -8.88178E-16 -4.44089E-16 4.44089E-16 2.22045E-16 3.10862E-15 -3.10862E-15 1.11022E-15
2.22045E-16 4.44089E-16 -2.22045E-16 -1.77636E-15 -2.66454E-15 8.88178E-16 3.33067E-15 0
8.88178E-16 2.22045E-15 2.66454E-15 8.88178E-16 -3.33067E-15 8.88178E-16 0 -6.66134E-16
4.44089E-16 -4.44089E-16 -2.22045E-16 1.77636E-15 0 1.11022E-15 -8.88178E-16 -3.55271E-15
-2.22045E-15 -2.22045E-16 2.22045E-16 2.22045E-16 6.66134E-16 1.33227E-15 -2.22045E-15 2.22045E-15
-2.22045E-15 -4.44089E-16 -2.22045E-16 -1.9984E-15 2.22045E-15 -1.33227E-15 -1.33227E-15 -1.11022E-15
-4.44089E-16 4.44089E-16 -6.66134E-16 1.55431E-15 1.77636E-15 1.33227E-15 1.77636E-15 1.33227E-15
-6.66134E-16 -4.44089E-16 -1.77636E-15 6.66134E-16 -1.77636E-15 -4.44089E-16 -3.10862E-15 4.44089E-16
2.22045E-16 2.22045E-16 6.66134E-16 -2.88658E-15 1.33227E-15 -4.44089E-16 2.22045E-16 1.11022E-15
-2.22045E-16 -2.22045E-16 2.22045E-16 1.11022E-15 -4.44089E-16 6.66134E-16 2.22045E-16 -2.22045E-16
-8.88178E-16 6.66134E-16 4.44089E-16 -8.88178E-16 0 -1.33227E-15 -1.33227E-15 0
1.77636E-15 6.66134E-16 -3.55271E-15 2.66454E-15 8.88178E-16 2.88658E-15 3.10862E-15 1.77636E-15
-1.33227E-15 -6.66134E-16 -1.77636E-15 1.77636E-15 0 -6.66134E-16 4.44089E-16 -1.11022E-15
-4.44089E-16 -6.66134E-16 6.66134E-16 2.66454E-15 6.66134E-16 2.22045E-16 8.88178E-16 -1.77636E-15
-4.44089E-16 8.88178E-16 2.66454E-15 -1.77636E-15 -1.55431E-15 1.11022E-15 -2.22045E-15 1.55431E-15
