# Open-loop AC Monte Carlo simulation mismatch-only phase margin
# N B M BN BM NN NV MV
90.7567 90.7583 90.7567 91.1975 90.7569 4020.83 2220.57 60.9512
90.7489 90.7506 90.7489 91.1866 90.7491 60.4397 60.8418 60.5624
90.7485 90.7502 90.7485 91.1846 90.7487 61.3979 61.7835 61.5196
90.7332 90.735 90.7333 91.1608 90.7335 61.0985 61.4837 61.2218
90.748 90.7497 90.748 91.1862 90.7482 60.5874 2221.2 60.7118
90.7611 90.7628 90.7611 91.2044 90.7613 2221.07 61.1835 60.9048
90.7892 90.7905 90.7886 91.2443 90.7884 60.2503 60.6539 60.3592
90.7349 90.7366 90.7349 91.1634 90.7351 60.1355 60.5336 60.257
90.7615 90.7632 90.7615 91.2036 90.7617 60.6159 61.0102 60.7309
90.7586 90.7602 90.7586 91.2013 90.7588 61.5053 61.8959 61.629
90.7442 90.7459 90.7442 91.1779 90.7444 61.1565 61.5438 61.2777
90.7656 90.7673 90.7656 91.2106 90.7658 60.7748 61.171 60.8919
90.7566 90.7583 90.7567 91.1983 90.7569 60.8389 61.2372 60.9597
90.7352 90.7369 1890.42 91.1645 90.7354 61.1113 61.4982 61.2349
90.7875 90.7891 90.7874 91.2433 90.7874 60.9135 61.3116 61.0262
90.7485 90.7503 90.7486 91.1838 90.7488 61.7313 62.1112 61.853
90.7394 90.741 90.7394 91.1714 90.7396 60.6623 61.0599 60.788
90.7532 90.7549 90.7532 91.1923 90.7534 3299.7 6181.1 60.6054
90.7333 90.735 90.7333 91.1633 90.7335 60.4011 60.8026 60.5281
90.7625 90.7642 90.7625 91.2059 90.7627 60.1769 60.58 60.2916
90.7764 90.7778 90.7761 91.2279 90.7761 61.2624 61.6609 61.3831
90.7996 90.8013 90.7995 91.2599 90.7996 61.7796 62.1616 61.8866
90.7747 90.7764 90.7747 91.2243 90.7749 61.5988 61.9869 61.7167
90.7639 90.7656 90.7639 91.2078 90.7641 60.6237 61.0199 60.7396
90.7955 90.7972 90.7954 91.2543 90.7955 60.7963 61.192 60.9023
90.7904 90.7921 90.7904 91.2467 90.7906 60.8978 61.2892 61.0043
90.7802 90.7818 90.7802 91.2326 90.7804 4377.59 61.0245 60.7372
90.779 90.7807 90.779 91.231 90.7792 60.1158 60.5225 60.2269
90.7512 90.7529 90.7512 91.1887 90.7514 61.0338 61.4237 61.1534
90.7577 90.7594 90.7578 91.1981 90.7579 61.7743 62.1564 61.8957
90.725 90.7267 90.725 91.1488 90.7252 60.9824 61.3707 61.1097
90.7593 90.761 90.7593 91.2008 90.7595 60.9634 61.3561 61.0811
90.7741 90.7758 90.7741 91.2254 90.7743 60.9523 2219.4 61.0703
90.7877 90.7894 90.7877 91.2421 90.7879 60.8641 61.2559 60.9717
90.7558 90.7576 90.7559 91.194 90.756 61.9796 62.3532 62.0966
90.7618 90.7635 90.7618 91.2058 90.762 61.9272 62.312 62.0492
90.805 90.8067 90.8051 91.2684 90.8052 60.242 60.6419 60.3423
90.7374 90.7391 90.7374 91.1689 90.7376 60.7963 61.1912 60.921
90.7728 90.7745 90.7728 91.2223 90.773 61.9762 62.3622 62.0974
90.7293 90.7308 90.7293 91.1602 90.7295 60.6156 61.0254 60.7516
90.8013 90.8031 90.8013 91.2626 90.8015 61.0998 61.4903 61.2052
90.7514 90.7532 90.7515 91.189 90.7517 59.7401 60.1449 59.8558
90.7273 90.729 90.7273 91.1525 90.7275 60.1046 60.5027 60.2282
90.7496 90.7513 90.7497 91.1859 90.7498 60.7119 61.1054 60.832
90.7885 90.7901 90.7884 91.2437 90.7885 61.2318 61.6215 61.342
90.7746 90.7763 90.7746 91.2241 90.7748 61.2669 1862.61 61.3833
90.7525 90.7542 90.7526 91.1921 90.7527 60.6834 61.0825 60.8056
90.7532 90.7549 90.7532 91.1933 90.7534 61.5799 61.9698 61.7057
90.7268 90.7285 90.7268 91.1534 90.727 60.5945 60.9925 60.7218
90.766 90.7677 90.766 91.2131 90.7662 60.7207 61.1242 60.8409
90.7689 90.7706 90.7689 91.2157 90.769 61.3122 61.7031 61.4308
90.7331 90.7348 90.7331 91.1621 90.7333 61.4275 61.8134 61.5547
90.7844 90.786 90.7844 91.2402 90.7845 60.9999 61.3979 61.1139
90.7569 90.7586 90.7569 91.1971 90.7571 60.8184 61.2118 60.9356
90.7669 90.7687 90.767 91.2123 90.7672 60.1399 60.544 60.254
90.7208 90.7224 90.7208 91.1438 90.721 61.3578 61.7453 61.489
90.7297 90.7313 90.7297 91.1582 90.7299 61.9198 62.3046 62.0524
90.7254 90.727 90.7254 91.1511 90.7256 60.5117 60.9096 60.6392
90.777 90.7788 90.7771 91.226 90.7773 59.9747 60.3739 60.0795
90.7839 90.7857 90.784 91.2357 90.7841 61.1612 61.5461 61.2694
90.7981 90.7999 90.7982 91.257 90.7984 61.1635 61.5479 61.2665
90.7291 90.7308 90.7292 91.1566 90.7293 60.424 60.8224 60.5505
90.7764 90.778 90.7764 91.2286 90.7766 61.4219 61.8179 61.5421
90.767 90.7688 90.7671 91.2118 90.7672 60.074 60.4758 60.186
90.7412 90.7429 90.7413 91.1744 90.7415 60.4566 60.8551 60.5789
90.7634 90.765 90.7634 91.2078 90.7636 59.4453 59.8589 59.558
90.7773 90.779 90.7773 91.2297 90.7775 60.8417 61.2442 60.9594
90.8028 90.8045 90.8028 91.2663 90.8029 60.6441 61.0449 60.7492
90.8005 90.8021 90.8005 91.263 90.8007 5460.73 61.3472 61.0582
90.7631 90.7648 90.7631 91.2075 90.7633 61.5212 61.9112 61.6433
90.7468 90.7485 90.7469 91.1821 90.7471 61.5843 61.9683 61.7084
90.7912 90.7929 90.7913 91.2497 90.7914 60.4474 60.8517 60.5576
90.759 90.7607 90.7591 91.2002 90.7592 61.9937 62.3728 62.1141
90.7432 90.7449 90.7433 91.1771 90.7434 60.2171 60.6164 60.3374
90.7145 90.7162 90.7146 91.1338 90.7147 60.721 61.1116 60.8504
90.7272 90.7289 90.7272 91.1528 90.7274 59.6298 60.0351 59.7515
90.7508 90.7524 90.7508 91.1893 90.751 60.4859 60.8862 60.6059
90.7426 90.7444 90.7427 91.1762 90.7429 60.8939 61.2865 61.0161
90.7816 90.7833 90.7816 91.2343 90.7818 60.2963 60.6996 60.4075
90.8268 90.8283 90.8266 91.303 90.8265 60.907 7621.31 2941.47
90.7233 90.725 90.7233 91.1488 90.7235 61.2552 61.6482 61.3889
90.7692 90.7709 90.7692 91.2151 90.7694 60.7278 61.1207 60.84
90.7456 90.7473 90.7456 91.1819 90.7458 59.5895 60.0005 59.7083
90.7675 90.7691 90.7675 91.2133 90.7677 60.7981 61.1935 60.914
90.7589 90.7606 90.7589 91.2016 90.7591 60.2668 60.6728 60.3865
90.7274 90.7292 90.7275 91.1522 90.7276 61.3146 61.6977 61.4414
90.7808 90.7825 90.7808 91.2332 90.781 1501.99 4022.36 62.2673
90.7536 90.7554 90.7537 91.1926 90.7539 60.1248 60.5274 60.2424
