# Open-loop AC Monte Carlo simulation mismatch-only regulated supply voltage
# N B M BN BM NN NV MV
2.36914 2.36914 2.36914 2.36914 2.36914 2.36914 2.36914 2.36914
2.38148 2.38148 2.38148 2.38148 2.38148 2.38149 2.38149 2.38149
2.43714 2.43714 2.43714 2.43714 2.43715 2.43716 2.43716 2.43716
2.56008 2.56008 2.56008 2.56008 2.56008 2.56008 2.56008 2.56008
2.3199 2.3199 2.3199 2.3199 2.3199 2.3199 2.3199 2.3199
2.38146 2.38146 2.38146 2.38146 2.38146 2.38146 2.38146 2.38146
2.30347 2.30449 2.30498 2.30544 2.3059 2.30866 2.30866 2.30901
2.52451 2.52451 2.52451 2.52451 2.52451 2.52451 2.52451 2.52451
2.41734 2.41734 2.41734 2.41734 2.41734 2.41734 2.41734 2.41734
2.33076 2.33076 2.33077 2.33077 2.33077 2.33077 2.33077 2.33077
2.46524 2.46524 2.46524 2.46524 2.46524 2.46524 2.46524 2.46524
2.32505 2.32505 2.32505 2.32505 2.32505 2.32505 2.32505 2.32505
2.35856 2.35856 2.35857 2.35857 2.35857 2.35857 2.35857 2.35857
2.47022 2.47022 2.47022 2.47022 2.47022 2.47022 2.47022 2.47022
2.27235 2.27264 2.27278 2.27292 2.27307 2.27405 2.27405 2.27418
2.50984 2.50984 2.50984 2.50984 2.50984 2.50985 2.50985 2.50985
2.41825 2.41827 2.41827 2.41828 2.41829 2.41834 2.41834 2.41835
2.42301 2.42301 2.42301 2.42301 2.42301 2.42301 2.42301 2.42301
2.44195 2.44195 2.44195 2.44195 2.44195 2.44195 2.44195 2.44195
2.35221 2.35221 2.35221 2.35222 2.35222 2.35224 2.35224 2.35224
2.22589 2.22627 2.22646 2.22664 2.22683 2.22807 2.22807 2.22824
2.32848 2.32876 2.32891 2.32905 2.32919 2.33018 2.33018 2.33032
2.34345 2.34346 2.34346 2.34346 2.34346 2.34346 2.34346 2.34346
2.37256 2.37256 2.37256 2.37256 2.37256 2.37256 2.37256 2.37256
2.3425 2.34271 2.34281 2.34292 2.34302 2.34375 2.34375 2.34386
2.4075 2.4075 2.4075 2.4075 2.4075 2.40751 2.40751 2.40751
2.33752 2.33752 2.33752 2.33752 2.33752 2.33753 2.33753 2.33753
2.32085 2.32086 2.32086 2.32086 2.32086 2.32087 2.32087 2.32087
2.40724 2.40724 2.40724 2.40724 2.40724 2.40724 2.40724 2.40724
2.40796 2.40796 2.40796 2.40796 2.40796 2.40796 2.40796 2.40796
2.52292 2.52292 2.52292 2.52292 2.52292 2.52292 2.52292 2.52292
2.39677 2.39677 2.39677 2.39678 2.39678 2.39678 2.39678 2.39678
2.26299 2.26299 2.26299 2.26299 2.26299 2.26299 2.26299 2.26299
2.38188 2.38188 2.38188 2.38188 2.38188 2.38188 2.38188 2.38188
2.48821 2.48821 2.48821 2.48821 2.48821 2.48821 2.48821 2.48821
2.32923 2.32923 2.32923 2.32923 2.32923 2.32923 2.32923 2.32923
2.31788 2.31788 2.31788 2.31788 2.31788 2.31788 2.31788 2.31788
2.46572 2.46572 2.46572 2.46572 2.46572 2.46572 2.46572 2.46572
2.33179 2.33179 2.33179 2.33179 2.33179 2.33179 2.33179 2.3318
2.27892 2.27892 2.27892 2.27892 2.27892 2.27892 2.27892 2.27892
2.34609 2.3461 2.3461 2.3461 2.3461 2.34612 2.34612 2.34612
2.44222 2.44222 2.44222 2.44222 2.44222 2.44222 2.44222 2.44222
2.55864 2.55864 2.55864 2.55864 2.55864 2.55864 2.55864 2.55864
2.49288 2.49289 2.49289 2.49289 2.4929 2.49293 2.49293 2.49293
2.35399 2.35417 2.35426 2.35435 2.35444 2.35509 2.35509 2.35518
2.31428 2.31428 2.31428 2.31428 2.31428 2.31428 2.31428 2.31428
2.35252 2.35252 2.35252 2.35252 2.35252 2.35252 2.35252 2.35252
2.34079 2.34079 2.34079 2.34079 2.34079 2.34079 2.34079 2.34079
2.40132 2.40132 2.40132 2.40132 2.40132 2.40132 2.40132 2.40132
2.29635 2.29635 2.29636 2.29636 2.29637 2.29639 2.29639 2.2964
2.31092 2.31094 2.31095 2.31096 2.31097 2.31103 2.31103 2.31104
2.44127 2.44127 2.44127 2.44127 2.44127 2.44127 2.44127 2.44127
2.22003 2.22003 2.22003 2.22003 2.22003 2.22003 2.22003 2.22003
2.43114 2.43114 2.43115 2.43115 2.43115 2.43116 2.43116 2.43117
2.39181 2.39182 2.39183 2.39183 2.39184 2.39188 2.39188 2.39188
2.47162 2.47162 2.47162 2.47162 2.47162 2.47162 2.47162 2.47162
2.41814 2.41814 2.41814 2.41814 2.41814 2.41814 2.41814 2.41814
2.45377 2.45377 2.45377 2.45377 2.45377 2.45377 2.45377 2.45377
2.39772 2.39772 2.39772 2.39772 2.39772 2.39772 2.39772 2.39772
2.4652 2.4652 2.4652 2.4652 2.4652 2.46521 2.46521 2.46521
2.3974 2.3974 2.3974 2.3974 2.3974 2.39741 2.39741 2.39741
2.46928 2.46928 2.46928 2.46928 2.46928 2.46929 2.46929 2.46929
2.23917 2.23917 2.23917 2.23917 2.23917 2.23917 2.23917 2.23917
2.42792 2.42792 2.42792 2.42792 2.42792 2.42793 2.42793 2.42793
2.39617 2.39617 2.39617 2.39617 2.39617 2.39617 2.39617 2.39617
2.36555 2.36555 2.36555 2.36555 2.36555 2.36556 2.36556 2.36556
2.25013 2.25015 2.25016 2.25017 2.25018 2.25024 2.25024 2.25025
2.28283 2.28286 2.28287 2.28288 2.28289 2.28297 2.28297 2.28298
2.23673 2.23674 2.23675 2.23675 2.23676 2.23679 2.23679 2.23679
2.30475 2.30475 2.30475 2.30475 2.30475 2.30475 2.30475 2.30475
2.46241 2.46241 2.46241 2.46241 2.46241 2.46241 2.46241 2.46241
2.26723 2.26726 2.26727 2.26728 2.26729 2.26738 2.26738 2.2674
2.39282 2.39282 2.39282 2.39282 2.39282 2.39282 2.39282 2.39282
2.43596 2.43596 2.43596 2.43596 2.43596 2.43596 2.43596 2.43596
2.5177 2.5177 2.5177 2.5177 2.5177 2.5177 2.5177 2.5177
2.51757 2.51757 2.51757 2.51757 2.51757 2.51758 2.51758 2.51758
2.3729 2.3729 2.3729 2.3729 2.3729 2.3729 2.3729 2.3729
2.42813 2.42813 2.42813 2.42813 2.42813 2.42813 2.42813 2.42813
2.33377 2.33384 2.33387 2.3339 2.33394 2.33417 2.33417 2.3342
2.18702 2.18739 2.18758 2.18776 2.18794 2.18914 2.18914 2.18931
2.41459 2.41459 2.41459 2.41459 2.41459 2.41459 2.41459 2.41459
2.44193 2.44193 2.44193 2.44193 2.44193 2.44193 2.44193 2.44193
2.36819 2.36819 2.36819 2.36819 2.36819 2.36819 2.36819 2.36819
2.36643 2.36643 2.36643 2.36643 2.36643 2.36643 2.36643 2.36643
2.36292 2.36292 2.36292 2.36292 2.36292 2.36292 2.36292 2.36292
2.51682 2.51682 2.51682 2.51682 2.51682 2.51682 2.51682 2.51682
2.34714 2.34714 2.34714 2.34714 2.34714 2.34714 2.34714 2.34714
2.37382 2.37382 2.37382 2.37382 2.37382 2.37382 2.37382 2.37382
2.46532 2.46532 2.46532 2.46532 2.46532 2.46532 2.46532 2.46532
2.2756 2.2756 2.27561 2.27561 2.27561 2.27561 2.27561 2.27561
2.42663 2.42663 2.42663 2.42663 2.42663 2.42663 2.42663 2.42663
2.3673 2.3673 2.3673 2.3673 2.3673 2.3673 2.3673 2.3673
2.35364 2.35367 2.35368 2.3537 2.35371 2.35381 2.35381 2.35383
2.23743 2.23755 2.23761 2.23767 2.23773 2.23815 2.23815 2.23821
2.3363 2.3363 2.3363 2.3363 2.3363 2.33631 2.33631 2.33631
