# ib,gm
1E-07,4.21322E-06
1.25893E-07,5.18845E-06
1.58489E-07,6.37293E-06
1.99526E-07,7.80425E-06
2.51189E-07,9.52398E-06
3.16228E-07,1.15775E-05
3.98107E-07,1.40131E-05
5.01187E-07,1.68818E-05
6.30957E-07,2.02356E-05
7.94328E-07,2.41268E-05
1E-06,2.86058E-05
1.25893E-06,3.37202E-05
1.58489E-06,3.95129E-05
1.99526E-06,4.6021E-05
2.51189E-06,5.32757E-05
3.16228E-06,6.13034E-05
3.98107E-06,7.01284E-05
5.01187E-06,7.97767E-05
6.30957E-06,9.02815E-05
7.94328E-06,0.000101687
1E-05,0.000114012
1.25893E-05,0.000127344
1.58489E-05,0.000141756
1.99526E-05,0.000157315
2.51189E-05,0.000174073
3.16228E-05,0.000192063
3.98107E-05,0.000211293
5.01187E-05,0.000231732
6.30957E-05,0.000253307
7.94328E-05,0.000275886
0.0001,0.000299254
