# ib,vreg
1E-07,1.03518
1.25893E-07,1.05595
1.58489E-07,1.07727
1.99526E-07,1.0992
2.51189E-07,1.12185
3.16228E-07,1.14532
3.98107E-07,1.16977
5.01187E-07,1.19534
6.30957E-07,1.22222
7.94328E-07,1.25063
1E-06,1.28083
1.25893E-06,1.3131
1.58489E-06,1.34779
1.99526E-06,1.38526
2.51189E-06,1.42598
3.16228E-06,1.47044
3.98107E-06,1.51924
5.01187E-06,1.57305
6.30957E-06,1.63268
7.94328E-06,1.69902
1E-05,1.77315
1.25893E-05,1.85631
1.58489E-05,1.94995
1.99526E-05,2.05579
2.51189E-05,2.17581
3.16228E-05,2.3124
3.98107E-05,2.46839
5.01187E-05,2.64719
6.30957E-05,2.85289
7.94328E-05,3.09045
0.0001,3.36581
