# ib,vreg
1E-07,1.47378
1.25893E-07,1.49541
1.58489E-07,1.51764
1.99526E-07,1.54056
2.51189E-07,1.56429
3.16228E-07,1.58895
3.98107E-07,1.61471
5.01187E-07,1.64174
6.30957E-07,1.67024
7.94328E-07,1.70048
1E-06,1.73271
1.25893E-06,1.76726
1.58489E-06,1.80451
1.99526E-06,1.84486
2.51189E-06,1.88883
3.16228E-06,1.93696
3.98107E-06,1.98993
5.01187E-06,2.0485
6.30957E-06,2.11355
7.94328E-06,2.18614
1E-05,2.26747
1.25893E-05,2.35897
1.58489E-05,2.46231
1.99526E-05,2.57949
2.51189E-05,2.71285
3.16228E-05,2.86517
3.98107E-05,3.03979
5.01187E-05,3.24071
6.30957E-05,3.4727
7.94328E-05,3.7414
0.0001,4.05145
