# ib,gm
1E-07,4.05837E-06
1.25893E-07,4.9963E-06
1.58489E-07,6.13423E-06
1.99526E-07,7.50759E-06
2.51189E-07,9.15555E-06
3.16228E-07,1.11206E-05
3.98107E-07,1.34482E-05
5.01187E-07,1.61856E-05
6.30957E-07,1.93814E-05
7.94328E-07,2.30833E-05
1E-06,2.73376E-05
1.25893E-06,3.2187E-05
1.58489E-06,3.76694E-05
1.99526E-06,4.3817E-05
2.51189E-06,5.06568E-05
3.16228E-06,5.82119E-05
3.98107E-06,6.64905E-05
5.01187E-06,7.55255E-05
6.30957E-06,8.53503E-05
7.94328E-06,9.60084E-05
1E-05,0.000107556
1.25893E-05,0.000120057
1.58489E-05,0.000133582
1.99526E-05,0.000148194
2.51189E-05,0.000163946
3.16228E-05,0.000180872
3.98107E-05,0.00019898
5.01187E-05,0.000218246
6.30957E-05,0.000238604
7.94328E-05,0.000259926
0.0001,0.000282001
