 time            vdd             time            vreg            time            gp             
 1.00000000e-12  0.00000000e+00  1.00000000e-12  2.44359856e-05  1.00000000e-12  2.48295762e-06 
 2.00000000e-12  0.00000000e+00  2.00000000e-12  4.88945029e-05  2.00000000e-12  4.96821786e-06 
 4.00000000e-12  0.00000000e+00  4.00000000e-12  9.78786093e-05  4.00000000e-12  9.94559071e-06 
 8.00000000e-12  0.00000000e+00  8.00000000e-12  1.96112839e-04  8.00000000e-12  1.99275160e-05 
 1.60000000e-11  0.00000000e+00  1.60000000e-11  3.93627083e-04  1.60000000e-11  3.99982344e-05 
 3.20000000e-11  0.00000000e+00  3.20000000e-11  7.92691800e-04  3.20000000e-11  8.05522702e-05 
 6.40000000e-11  0.00000000e+00  6.40000000e-11  1.60580665e-03  6.40000000e-11  1.63193331e-04 
 1.00000000e-10  0.00000000e+00  1.00000000e-10  2.54183962e-03  1.00000000e-10  2.58343980e-04 
 1.06400000e-10  0.00000000e+00  1.06400000e-10  2.71037257e-03  1.06400000e-10  2.75477782e-04 
 1.19200000e-10  0.00000000e+00  1.19200000e-10  3.04922503e-03  1.19200000e-10  3.09928771e-04 
 1.44800000e-10  0.00000000e+00  1.44800000e-10  3.73365891e-03  1.44800000e-10  3.79522024e-04 
 1.96000000e-10  0.00000000e+00  1.96000000e-10  5.12574403e-03  1.96000000e-10  5.21098667e-04 
 2.96000000e-10  0.00000000e+00  2.96000000e-10  7.76247347e-03  2.96000000e-10  7.89364488e-04 
 3.96000000e-10  0.00000000e+00  3.96000000e-10  9.74741585e-03  3.96000000e-10  9.91408377e-04 
 4.96000000e-10  0.00000000e+00  4.96000000e-10  9.16231310e-03  4.96000000e-10  9.31843201e-04 
 5.96000000e-10  0.00000000e+00  5.96000000e-10  4.96390511e-03  5.96000000e-10  5.04636669e-04 
 6.96000000e-10  0.00000000e+00  6.96000000e-10  2.07810968e-03  6.96000000e-10  2.11201374e-04 
 7.96000000e-10  0.00000000e+00  7.96000000e-10  1.12019203e-03  7.96000000e-10  1.13835386e-04 
 8.96000000e-10  0.00000000e+00  8.96000000e-10  5.99397746e-04  8.96000000e-10  6.09079998e-05 
 9.96000000e-10  0.00000000e+00  9.96000000e-10  4.04312027e-04  9.96000000e-10  4.10832281e-05 
 1.09600000e-09  4.80000000e+00  1.09600000e-09  1.28153904e+00  1.09600000e-09  4.36759759e+00 
 1.10000000e-09  5.00000000e+00  1.10000000e-09  1.32313493e+00  1.10000000e-09  4.55008300e+00 
 1.10509302e-09  5.00000000e+00  1.10509302e-09  1.31884201e+00  1.10509302e-09  4.54894619e+00 
 1.11527905e-09  5.00000000e+00  1.11527905e-09  1.31131645e+00  1.11527905e-09  4.54608010e+00 
 1.13385384e-09  5.00000000e+00  1.13385384e-09  1.30317171e+00  1.13385384e-09  4.53749514e+00 
 1.17100343e-09  5.00000000e+00  1.17100343e-09  1.30321163e+00  1.17100343e-09  4.51133929e+00 
 1.24530260e-09  5.00000000e+00  1.24530260e-09  1.33693317e+00  1.24530260e-09  4.44576536e+00 
 1.34530260e-09  5.00000000e+00  1.34530260e-09  1.40743258e+00  1.34530260e-09  4.34910527e+00 
 1.44530260e-09  5.00000000e+00  1.44530260e-09  1.48402931e+00  1.44530260e-09  4.24660000e+00 
 1.54530260e-09  5.00000000e+00  1.54530260e-09  1.55027430e+00  1.54530260e-09  4.14361525e+00 
 1.64530260e-09  5.00000000e+00  1.64530260e-09  1.61465890e+00  1.64530260e-09  4.04648759e+00 
 1.74530260e-09  5.00000000e+00  1.74530260e-09  1.69582568e+00  1.74530260e-09  3.95060250e+00 
 1.84530260e-09  5.00000000e+00  1.84530260e-09  1.80995040e+00  1.84530260e-09  3.85386498e+00 
 1.94530260e-09  5.00000000e+00  1.94530260e-09  1.96223530e+00  1.94530260e-09  3.75514439e+00 
 2.04530260e-09  5.00000000e+00  2.04530260e-09  2.13993579e+00  2.04530260e-09  3.65328864e+00 
 2.14530260e-09  5.00000000e+00  2.14530260e-09  2.31478009e+00  2.14530260e-09  3.54822578e+00 
 2.24530260e-09  5.00000000e+00  2.24530260e-09  2.47000533e+00  2.24530260e-09  3.44271834e+00 
