# in,ci
-1.5,1.16172E-14
-1.49,1.16013E-14
-1.48,1.15856E-14
-1.47,1.15703E-14
-1.46,1.15553E-14
-1.45,1.15408E-14
-1.44,1.15268E-14
-1.43,1.15137E-14
-1.42,1.15018E-14
-1.41,1.14918E-14
-1.4,1.14845E-14
-1.39,1.1481E-14
-1.38,1.14823E-14
-1.37,1.14883E-14
-1.36,1.14977E-14
-1.35,1.15074E-14
-1.34,1.15146E-14
-1.33,1.15176E-14
-1.32,1.15164E-14
-1.31,1.15117E-14
-1.3,1.15045E-14
-1.29,1.14958E-14
-1.28,1.14861E-14
-1.27,1.1476E-14
-1.26,1.14656E-14
-1.25,1.14551E-14
-1.24,1.14448E-14
-1.23,1.14345E-14
-1.22,1.14245E-14
-1.21,1.14147E-14
-1.2,1.14052E-14
-1.19,1.1396E-14
-1.18,1.13871E-14
-1.17,1.13786E-14
-1.16,1.13705E-14
-1.15,1.13628E-14
-1.14,1.13556E-14
-1.13,1.1349E-14
-1.12,1.1343E-14
-1.11,1.13376E-14
-1.1,1.1333E-14
-1.09,1.13292E-14
-1.08,1.13263E-14
-1.07,1.13246E-14
-1.06,1.1324E-14
-1.05,1.13247E-14
-1.04,1.1327E-14
-1.03,1.1331E-14
-1.02,1.13369E-14
-1.01,1.1345E-14
-1,1.13555E-14
-0.99,1.13688E-14
-0.98,1.13851E-14
-0.97,1.14047E-14
-0.96,1.14281E-14
-0.95,1.14556E-14
-0.94,1.14875E-14
-0.93,1.15242E-14
-0.92,1.1566E-14
-0.91,1.16133E-14
-0.9,1.16662E-14
-0.89,1.1725E-14
-0.88,1.17896E-14
-0.87,1.18602E-14
-0.86,1.19365E-14
-0.85,1.20183E-14
-0.84,1.21053E-14
-0.83,1.21971E-14
-0.82,1.22932E-14
-0.81,1.2393E-14
-0.8,1.24958E-14
-0.79,1.26009E-14
-0.78,1.27075E-14
-0.77,1.28149E-14
-0.76,1.29222E-14
-0.75,1.30286E-14
-0.74,1.31334E-14
-0.73,1.32357E-14
-0.72,1.33351E-14
-0.71,1.34309E-14
-0.7,1.35227E-14
-0.69,1.36102E-14
-0.68,1.3693E-14
-0.67,1.37712E-14
-0.66,1.38446E-14
-0.65,1.39133E-14
-0.64,1.39773E-14
-0.63,1.40368E-14
-0.62,1.4092E-14
-0.61,1.4143E-14
-0.6,1.41901E-14
-0.59,1.42336E-14
-0.58,1.42737E-14
-0.57,1.43105E-14
-0.56,1.43445E-14
-0.55,1.43757E-14
-0.54,1.44044E-14
-0.53,1.44308E-14
-0.52,1.44552E-14
-0.51,1.44776E-14
-0.5,1.44983E-14
-0.49,1.45174E-14
-0.48,1.4535E-14
-0.47,1.45514E-14
-0.46,1.45665E-14
-0.45,1.45805E-14
-0.44,1.45936E-14
-0.43,1.46057E-14
-0.42,1.46171E-14
-0.41,1.46276E-14
-0.4,1.46375E-14
-0.39,1.46468E-14
-0.38,1.46556E-14
-0.37,1.46638E-14
-0.36,1.46715E-14
-0.35,1.46788E-14
-0.34,1.46858E-14
-0.33,1.46923E-14
-0.32,1.46986E-14
-0.31,1.47045E-14
-0.3,1.47102E-14
-0.29,1.47156E-14
-0.28,1.47207E-14
-0.27,1.47257E-14
-0.26,1.47304E-14
-0.25,1.4735E-14
-0.24,1.47394E-14
-0.23,1.47436E-14
-0.22,1.47477E-14
-0.21,1.47516E-14
-0.2,1.47554E-14
-0.19,1.4759E-14
-0.18,1.47625E-14
-0.17,1.47659E-14
-0.16,1.47691E-14
-0.15,1.47723E-14
-0.14,1.47753E-14
-0.13,1.47781E-14
-0.12,1.47809E-14
-0.11,1.47835E-14
-0.1,1.4786E-14
-0.09,1.47884E-14
-0.08,1.47906E-14
-0.07,1.47927E-14
-0.06,1.47946E-14
-0.05,1.47964E-14
-0.04,1.4798E-14
-0.03,1.47995E-14
-0.02,1.48008E-14
-0.01,1.4802E-14
1.19696E-15,1.4803E-14
0.01,1.48039E-14
0.02,1.48046E-14
0.03,1.48051E-14
0.04,1.48055E-14
0.05,1.48057E-14
0.06,1.48058E-14
0.07,1.48058E-14
0.08,1.48055E-14
0.09,1.48052E-14
0.1,1.48048E-14
0.11,1.48042E-14
0.12,1.48035E-14
0.13,1.48027E-14
0.14,1.48017E-14
0.15,1.48007E-14
0.16,1.47996E-14
0.17,1.47983E-14
0.18,1.4797E-14
0.19,1.47956E-14
0.2,1.47941E-14
0.21,1.47925E-14
0.22,1.47909E-14
0.23,1.47891E-14
0.24,1.47873E-14
0.25,1.47854E-14
0.26,1.47835E-14
0.27,1.47814E-14
0.28,1.47793E-14
0.29,1.4777E-14
0.3,1.47748E-14
0.31,1.47724E-14
0.32,1.47699E-14
0.33,1.47674E-14
0.34,1.47647E-14
0.35,1.4762E-14
0.36,1.47592E-14
0.37,1.47562E-14
0.38,1.47532E-14
0.39,1.475E-14
0.4,1.47468E-14
0.41,1.47433E-14
0.42,1.47398E-14
0.43,1.47361E-14
0.44,1.47323E-14
0.45,1.47283E-14
0.46,1.47241E-14
0.47,1.47197E-14
0.48,1.47152E-14
0.49,1.47104E-14
0.5,1.47054E-14
0.51,1.47001E-14
0.52,1.46946E-14
0.53,1.46887E-14
0.54,1.46826E-14
0.55,1.46761E-14
0.56,1.46693E-14
0.57,1.4662E-14
0.58,1.46543E-14
0.59,1.46461E-14
0.6,1.46375E-14
0.61,1.46282E-14
0.62,1.46184E-14
0.63,1.46079E-14
0.64,1.45966E-14
0.65,1.45843E-14
0.66,1.45704E-14
0.67,1.45555E-14
0.68,1.45397E-14
0.69,1.45228E-14
0.7,1.45048E-14
0.71,1.44855E-14
0.72,1.44649E-14
0.73,1.44429E-14
0.74,1.44193E-14
0.75,1.43941E-14
0.76,1.43671E-14
0.77,1.43382E-14
0.78,1.43074E-14
0.79,1.42745E-14
0.8,1.42393E-14
0.81,1.42019E-14
0.82,1.41621E-14
0.83,1.41198E-14
0.84,1.4075E-14
0.85,1.40277E-14
0.86,1.39778E-14
0.87,1.39254E-14
0.88,1.38705E-14
0.89,1.38132E-14
0.9,1.37536E-14
0.91,1.36919E-14
0.92,1.36284E-14
0.93,1.35633E-14
0.94,1.34969E-14
0.95,1.34295E-14
0.96,1.33616E-14
0.97,1.32935E-14
0.98,1.32257E-14
0.99,1.31586E-14
1,1.30926E-14
1.01,1.30282E-14
1.02,1.29659E-14
1.03,1.2906E-14
1.04,1.28488E-14
1.05,1.27948E-14
1.06,1.27441E-14
1.07,1.26971E-14
1.08,1.26538E-14
1.09,1.26145E-14
1.1,1.25791E-14
1.11,1.25478E-14
1.12,1.25206E-14
1.13,1.24974E-14
1.14,1.24781E-14
1.15,1.24627E-14
1.16,1.2451E-14
1.17,1.24429E-14
1.18,1.24382E-14
1.19,1.24369E-14
1.2,1.24386E-14
1.21,1.24433E-14
1.22,1.24508E-14
1.23,1.24609E-14
1.24,1.24735E-14
1.25,1.24884E-14
1.26,1.25054E-14
1.27,1.25244E-14
1.28,1.25452E-14
1.29,1.25678E-14
1.3,1.2592E-14
1.31,1.26176E-14
1.32,1.26446E-14
1.33,1.26729E-14
1.34,1.27023E-14
1.35,1.27328E-14
1.36,1.27642E-14
1.37,1.27966E-14
1.38,1.28298E-14
1.39,1.28651E-14
1.4,1.28998E-14
1.41,1.29351E-14
1.42,1.2971E-14
1.43,1.30075E-14
1.44,1.30444E-14
1.45,1.30818E-14
1.46,1.31196E-14
1.47,1.31578E-14
1.48,1.31963E-14
1.49,1.32352E-14
